"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900029","285","201953","Eric Maynor","1610612762","Utah Jazz","2","0","4","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091030","UTA","LAC"
"Shot Chart Detail","0020900048","158","201953","Eric Maynor","1610612762","Utah Jazz","2","9","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-141","126","1","0","20091102","UTA","HOU"
"Shot Chart Detail","0020900048","161","201953","Eric Maynor","1610612762","Utah Jazz","2","9","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-2","94","1","0","20091102","UTA","HOU"
"Shot Chart Detail","0020900071","536","201953","Eric Maynor","1610612762","Utah Jazz","4","0","54","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091105","UTA","SAS"
"Shot Chart Detail","0020900071","542","201953","Eric Maynor","1610612762","Utah Jazz","4","0","20","Made Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","26","28","1","1","20091105","UTA","SAS"
"Shot Chart Detail","0020900111","125","201953","Eric Maynor","1610612762","Utah Jazz","2","10","42","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","20","1","1","20091111","BOS","UTA"
"Shot Chart Detail","0020900111","132","201953","Eric Maynor","1610612762","Utah Jazz","2","10","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","77","44","1","0","20091111","BOS","UTA"
"Shot Chart Detail","0020900111","396","201953","Eric Maynor","1610612762","Utah Jazz","4","8","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","-3","1","0","20091111","BOS","UTA"
"Shot Chart Detail","0020900111","411","201953","Eric Maynor","1610612762","Utah Jazz","4","6","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-109","183","1","0","20091111","BOS","UTA"
"Shot Chart Detail","0020900111","415","201953","Eric Maynor","1610612762","Utah Jazz","4","5","56","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","4","72","1","1","20091111","BOS","UTA"
"Shot Chart Detail","0020900111","429","201953","Eric Maynor","1610612762","Utah Jazz","4","4","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","34","149","1","0","20091111","BOS","UTA"
"Shot Chart Detail","0020900111","472","201953","Eric Maynor","1610612762","Utah Jazz","4","0","8","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","36","0","1","1","20091111","BOS","UTA"
"Shot Chart Detail","0020900125","21","201953","Eric Maynor","1610612762","Utah Jazz","1","10","28","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","1","35","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","57","201953","Eric Maynor","1610612762","Utah Jazz","1","5","33","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","47","1","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","75","201953","Eric Maynor","1610612762","Utah Jazz","1","2","46","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-24","48","1","1","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","98","201953","Eric Maynor","1610612762","Utah Jazz","1","0","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-125","179","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","268","201953","Eric Maynor","1610612762","Utah Jazz","3","7","43","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-7","250","1","1","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","280","201953","Eric Maynor","1610612762","Utah Jazz","3","6","36","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","299","201953","Eric Maynor","1610612762","Utah Jazz","3","4","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-2","183","1","1","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","319","201953","Eric Maynor","1610612762","Utah Jazz","3","2","13","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-70","4","1","1","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","322","201953","Eric Maynor","1610612762","Utah Jazz","3","1","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","352","201953","Eric Maynor","1610612762","Utah Jazz","4","11","26","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","0","89","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","374","201953","Eric Maynor","1610612762","Utah Jazz","4","8","54","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-7","145","1","1","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","379","201953","Eric Maynor","1610612762","Utah Jazz","4","8","15","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","39","30","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","380","201953","Eric Maynor","1610612762","Utah Jazz","4","8","10","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","457","201953","Eric Maynor","1610612762","Utah Jazz","4","0","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","203","151","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900137","8","201953","Eric Maynor","1610612762","Utah Jazz","1","10","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-139","220","1","0","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","32","201953","Eric Maynor","1610612762","Utah Jazz","1","6","23","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","-2","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","43","201953","Eric Maynor","1610612762","Utah Jazz","1","4","55","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","40","72","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","53","201953","Eric Maynor","1610612762","Utah Jazz","1","3","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","4","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","129","201953","Eric Maynor","1610612762","Utah Jazz","2","8","26","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","26","53","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","147","201953","Eric Maynor","1610612762","Utah Jazz","2","6","31","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-160","83","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","171","201953","Eric Maynor","1610612762","Utah Jazz","2","4","43","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-82","164","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","207","201953","Eric Maynor","1610612762","Utah Jazz","2","0","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-131","220","1","0","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","232","201953","Eric Maynor","1610612762","Utah Jazz","3","9","41","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","146","132","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","253","201953","Eric Maynor","1610612762","Utah Jazz","3","6","22","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-7","64","1","0","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","329","201953","Eric Maynor","1610612762","Utah Jazz","4","11","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","7","1","0","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","458","201953","Eric Maynor","1610612762","Utah Jazz","4","1","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","17","22","1","0","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","460","201953","Eric Maynor","1610612762","Utah Jazz","4","1","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","135","36","1","0","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","473","201953","Eric Maynor","1610612762","Utah Jazz","4","0","41","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-56","25","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","494","201953","Eric Maynor","1610612762","Utah Jazz","4","0","14","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","37","33","1","1","20091114","CLE","UTA"
"Shot Chart Detail","0020900137","512","201953","Eric Maynor","1610612762","Utah Jazz","4","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","35","179","312","1","0","20091114","CLE","UTA"
"Shot Chart Detail","0020900167","91","201953","Eric Maynor","1610612762","Utah Jazz","1","1","28","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-108","36","1","1","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","94","201953","Eric Maynor","1610612762","Utah Jazz","1","1","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","94","-3","1","0","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","108","201953","Eric Maynor","1610612762","Utah Jazz","1","0","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-105","224","1","0","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","138","201953","Eric Maynor","1610612762","Utah Jazz","2","8","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","215","116","1","0","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","377","201953","Eric Maynor","1610612762","Utah Jazz","3","1","28","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","386","201953","Eric Maynor","1610612762","Utah Jazz","3","0","5","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","61","34","1","1","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","430","201953","Eric Maynor","1610612762","Utah Jazz","4","9","3","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-48","41","1","1","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","458","201953","Eric Maynor","1610612762","Utah Jazz","4","6","56","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","471","201953","Eric Maynor","1610612762","Utah Jazz","4","6","10","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","477","201953","Eric Maynor","1610612762","Utah Jazz","4","5","32","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-26","101","1","1","20091118","UTA","TOR"
"Shot Chart Detail","0020900167","522","201953","Eric Maynor","1610612762","Utah Jazz","4","0","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-199","148","1","0","20091118","UTA","TOR"
"Shot Chart Detail","0020900171","103","201953","Eric Maynor","1610612762","Utah Jazz","1","1","59","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-4","52","1","0","20091119","SAS","UTA"
"Shot Chart Detail","0020900171","124","201953","Eric Maynor","1610612762","Utah Jazz","1","0","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","20","101","1","0","20091119","SAS","UTA"
"Shot Chart Detail","0020900171","320","201953","Eric Maynor","1610612762","Utah Jazz","3","3","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-100","183","1","0","20091119","SAS","UTA"
"Shot Chart Detail","0020900190","126","201953","Eric Maynor","1610612762","Utah Jazz","1","0","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","124","176","1","1","20091121","UTA","DET"
"Shot Chart Detail","0020900190","138","201953","Eric Maynor","1610612762","Utah Jazz","2","11","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-81","236","1","0","20091121","UTA","DET"
"Shot Chart Detail","0020900190","144","201953","Eric Maynor","1610612762","Utah Jazz","2","10","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-101","222","1","0","20091121","UTA","DET"
"Shot Chart Detail","0020900190","378","201953","Eric Maynor","1610612762","Utah Jazz","4","9","35","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","92","230","1","1","20091121","UTA","DET"
"Shot Chart Detail","0020900190","398","201953","Eric Maynor","1610612762","Utah Jazz","4","7","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091121","UTA","DET"
"Shot Chart Detail","0020900190","404","201953","Eric Maynor","1610612762","Utah Jazz","4","7","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091121","UTA","DET"
"Shot Chart Detail","0020900190","419","201953","Eric Maynor","1610612762","Utah Jazz","4","5","58","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-101","20","1","0","20091121","UTA","DET"
"Shot Chart Detail","0020900206","115","201953","Eric Maynor","1610612762","Utah Jazz","1","0","8","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","43","63","1","0","20091124","UTA","OKC"
"Shot Chart Detail","0020900206","134","201953","Eric Maynor","1610612762","Utah Jazz","2","10","4","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091124","UTA","OKC"
"Shot Chart Detail","0020900206","362","201953","Eric Maynor","1610612762","Utah Jazz","4","10","17","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-2","37","1","0","20091124","UTA","OKC"
"Shot Chart Detail","0020900206","446","201953","Eric Maynor","1610612762","Utah Jazz","4","2","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-215","134","1","0","20091124","UTA","OKC"
"Shot Chart Detail","0020900221","106","201953","Eric Maynor","1610612762","Utah Jazz","2","9","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091126","UTA","CHI"
