"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020500011","118","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","9","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","146","206","1","0","20051102","MIN","POR"
"Shot Chart Detail","0020500011","314","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","23","38","232","1","0","20051102","MIN","POR"
"Shot Chart Detail","0020500011","326","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","11","0","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","72","3","1","1","20051102","MIN","POR"
"Shot Chart Detail","0020500011","330","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","10","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-108","127","1","1","20051102","MIN","POR"
"Shot Chart Detail","0020500011","333","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","10","22","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","110","41","1","1","20051102","MIN","POR"
"Shot Chart Detail","0020500011","344","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","9","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-64","140","1","0","20051102","MIN","POR"
"Shot Chart Detail","0020500011","366","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","6","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","113","192","1","0","20051102","MIN","POR"
"Shot Chart Detail","0020500027","54","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","5","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-84","230","1","0","20051104","DEN","POR"
"Shot Chart Detail","0020500027","120","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","11","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","115","143","1","0","20051104","DEN","POR"
"Shot Chart Detail","0020500027","124","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","10","55","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051104","DEN","POR"
"Shot Chart Detail","0020500027","506","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","0","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","79","235","1","0","20051104","DEN","POR"
"Shot Chart Detail","0020500041","84","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","1","14","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-79","53","1","1","20051105","POR","ATL"
"Shot Chart Detail","0020500041","111","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","10","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-143","91","1","1","20051105","POR","ATL"
"Shot Chart Detail","0020500041","129","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","8","58","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-8","36","1","0","20051105","POR","ATL"
"Shot Chart Detail","0020500041","333","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","0","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051105","POR","ATL"
"Shot Chart Detail","0020500041","355","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","11","27","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-6","252","1","1","20051105","POR","ATL"
"Shot Chart Detail","0020500041","420","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","5","4","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051105","POR","ATL"
"Shot Chart Detail","0020500066","58","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","5","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","47","242","1","0","20051109","POR","NYK"
"Shot Chart Detail","0020500066","86","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","3","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051109","POR","NYK"
"Shot Chart Detail","0020500066","92","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","3","12","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051109","POR","NYK"
"Shot Chart Detail","0020500066","99","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","2","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","47","242","1","0","20051109","POR","NYK"
"Shot Chart Detail","0020500066","131","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","138","207","1","0","20051109","POR","NYK"
"Shot Chart Detail","0020500066","260","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","1","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","39","238","1","0","20051109","POR","NYK"
"Shot Chart Detail","0020500066","444","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","5","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-41","240","1","0","20051109","POR","NYK"
"Shot Chart Detail","0020500066","512","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","0","29","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051109","POR","NYK"
"Shot Chart Detail","0020500080","139","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","7","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051111","POR","DET"
"Shot Chart Detail","0020500115","76","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","4","12","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-67","183","1","1","20051116","POR","CHI"
"Shot Chart Detail","0020500115","133","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-118","174","1","0","20051116","POR","CHI"
"Shot Chart Detail","0020500115","354","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","8","54","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-28","79","1","1","20051116","POR","CHI"
"Shot Chart Detail","0020500115","357","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","8","24","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","146","197","1","1","20051116","POR","CHI"
"Shot Chart Detail","0020500115","386","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","4","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","11","243","1","0","20051116","POR","CHI"
"Shot Chart Detail","0020500129","94","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","87","202","1","0","20051118","POR","GSW"
"Shot Chart Detail","0020500152","137","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","8","24","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-34","30","1","1","20051122","MEM","POR"
"Shot Chart Detail","0020500152","144","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","7","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051122","MEM","POR"
"Shot Chart Detail","0020500152","207","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","1","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-136","225","1","0","20051122","MEM","POR"
"Shot Chart Detail","0020500159","106","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","9","55","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-59","163","1","1","20051123","MIA","POR"
"Shot Chart Detail","0020500159","108","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","9","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-176","186","1","0","20051123","MIA","POR"
"Shot Chart Detail","0020500159","129","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","6","20","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","105","178","1","1","20051123","MIA","POR"
"Shot Chart Detail","0020500159","146","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","4","19","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","10","71","1","1","20051123","MIA","POR"
"Shot Chart Detail","0020500159","265","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","4","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","169","140","1","0","20051123","MIA","POR"
"Shot Chart Detail","0020500159","317","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","11","38","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-232","68","1","0","20051123","MIA","POR"
"Shot Chart Detail","0020500159","359","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","6","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-100","158","1","0","20051123","MIA","POR"
"Shot Chart Detail","0020500169","73","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","1","36","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","11","130","1","1","20051125","ORL","POR"
"Shot Chart Detail","0020500169","79","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","43","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051125","ORL","POR"
"Shot Chart Detail","0020500190","55","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","5","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-153","46","1","0","20051127","ATL","POR"
"Shot Chart Detail","0020500190","301","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","2","26","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-113","141","1","1","20051127","ATL","POR"
"Shot Chart Detail","0020500190","319","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","11","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-71","248","1","0","20051127","ATL","POR"
"Shot Chart Detail","0020500190","322","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","10","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","8","128","1","0","20051127","ATL","POR"
"Shot Chart Detail","0020500190","342","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","8","2","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","107","192","1","1","20051127","ATL","POR"
"Shot Chart Detail","0020500190","351","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","6","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-16","28","1","0","20051127","ATL","POR"
"Shot Chart Detail","0020500190","377","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","4","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051127","ATL","POR"
"Shot Chart Detail","0020500190","386","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","4","8","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-146","10","1","0","20051127","ATL","POR"
"Shot Chart Detail","0020500190","395","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","3","5","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-243","-14","1","0","20051127","ATL","POR"
"Shot Chart Detail","0020500198","83","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","3","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","125","107","1","0","20051129","PHI","POR"
"Shot Chart Detail","0020500198","142","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","9","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","10","217","1","0","20051129","PHI","POR"
"Shot Chart Detail","0020500198","145","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","8","59","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051129","PHI","POR"
"Shot Chart Detail","0020500198","385","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","9","32","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051129","PHI","POR"
"Shot Chart Detail","0020500198","395","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","8","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-90","148","1","1","20051129","PHI","POR"
"Shot Chart Detail","0020500198","413","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","6","39","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-38","206","1","0","20051129","PHI","POR"
"Shot Chart Detail","0020500207","129","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","15","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","46","0","1","0","20051130","WAS","POR"
"Shot Chart Detail","0020500207","153","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","9","53","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","52","31","1","0","20051130","WAS","POR"
"Shot Chart Detail","0020500227","115","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","0","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051202","POR","IND"
"Shot Chart Detail","0020500227","129","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","10","13","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","54","240","1","0","20051202","POR","IND"
"Shot Chart Detail","0020500227","298","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","2","53","Made Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","11","31","1","1","20051202","POR","IND"
"Shot Chart Detail","0020500227","315","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","0","23","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051202","POR","IND"
"Shot Chart Detail","0020500227","342","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","10","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","135","141","1","1","20051202","POR","IND"
"Shot Chart Detail","0020500227","370","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","7","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","146","163","1","1","20051202","POR","IND"
"Shot Chart Detail","0020500227","405","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","4","19","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051202","POR","IND"
"Shot Chart Detail","0020500242","312","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","1","8","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","64","146","1","0","20051204","POR","UTA"
"Shot Chart Detail","0020500255","92","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","19","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051206","PHX","POR"
"Shot Chart Detail","0020500255","95","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","8","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","0","97","1","1","20051206","PHX","POR"
"Shot Chart Detail","0020500255","99","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","43","-205","381","1","0","20051206","PHX","POR"
"Shot Chart Detail","0020500255","131","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","8","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-143","122","1","0","20051206","PHX","POR"
"Shot Chart Detail","0020500255","142","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","8","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","141","219","1","0","20051206","PHX","POR"
"Shot Chart Detail","0020500255","382","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","7","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051206","PHX","POR"
"Shot Chart Detail","0020500255","424","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","3","22","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051206","PHX","POR"
"Shot Chart Detail","0020500255","426","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","2","55","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","74","189","1","1","20051206","PHX","POR"
"Shot Chart Detail","0020500255","440","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","1","58","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051206","PHX","POR"
"Shot Chart Detail","0020500255","444","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","1","29","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","144","89","1","1","20051206","PHX","POR"
"Shot Chart Detail","0020500255","449","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","0","37","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-228","43","1","0","20051206","PHX","POR"
"Shot Chart Detail","0020500265","70","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","2","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","103","158","1","1","20051207","POR","MIN"
"Shot Chart Detail","0020500265","77","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","1","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-126","86","1","0","20051207","POR","MIN"
"Shot Chart Detail","0020500265","140","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","6","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-131","31","1","0","20051207","POR","MIN"
"Shot Chart Detail","0020500265","299","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","1","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051207","POR","MIN"
"Shot Chart Detail","0020500265","358","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","9","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-84","237","1","0","20051207","POR","MIN"
"Shot Chart Detail","0020500265","395","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","5","34","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051207","POR","MIN"
"Shot Chart Detail","0020500265","410","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","3","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051207","POR","MIN"
"Shot Chart Detail","0020500294","126","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","10","45","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051211","POR","HOU"
"Shot Chart Detail","0020500294","138","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","9","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","34","240","1","0","20051211","POR","HOU"
"Shot Chart Detail","0020500294","147","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","8","47","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","227","3","1","1","20051211","POR","HOU"
"Shot Chart Detail","0020500294","157","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","7","27","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","22","-194","118","1","0","20051211","POR","HOU"
"Shot Chart Detail","0020500317","98","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-105","151","1","1","20051214","UTA","POR"
"Shot Chart Detail","0020500317","120","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","11","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-158","138","1","0","20051214","UTA","POR"
"Shot Chart Detail","0020500317","127","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","10","4","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051214","UTA","POR"
"Shot Chart Detail","0020500317","149","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","7","54","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","-67","117","1","1","20051214","UTA","POR"
"Shot Chart Detail","0020500317","275","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","7","27","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","97","191","1","0","20051214","UTA","POR"
"Shot Chart Detail","0020500317","353","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","0","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-107","122","1","1","20051214","UTA","POR"
"Shot Chart Detail","0020500317","378","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","9","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051214","UTA","POR"
"Shot Chart Detail","0020500317","417","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","6","17","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051214","UTA","POR"
"Shot Chart Detail","0020500317","483","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","0","35","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","235","-5","1","0","20051214","UTA","POR"
"Shot Chart Detail","0020500317","496","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-172","169","1","0","20051214","UTA","POR"
"Shot Chart Detail","0020500345","19","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","8","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-46","199","1","0","20051218","POR","WAS"
"Shot Chart Detail","0020500345","123","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","10","0","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-225","-11","1","1","20051218","POR","WAS"
"Shot Chart Detail","0020500345","137","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","7","39","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051218","POR","WAS"
"Shot Chart Detail","0020500345","305","101127","Jarrett Jack","1610612757","Portland Trail Blazers","3","1","36","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","105","128","1","1","20051218","POR","WAS"
"Shot Chart Detail","0020500345","327","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","11","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","56","215","1","0","20051218","POR","WAS"
"Shot Chart Detail","0020500345","337","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","10","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051218","POR","WAS"
"Shot Chart Detail","0020500355","90","101127","Jarrett Jack","1610612757","Portland Trail Blazers","1","0","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","98","112","1","1","20051220","DET","POR"
"Shot Chart Detail","0020500355","118","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","9","16","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-102","53","1","1","20051220","DET","POR"
"Shot Chart Detail","0020500355","161","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","3","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","103","104","1","0","20051220","DET","POR"
"Shot Chart Detail","0020500355","170","101127","Jarrett Jack","1610612757","Portland Trail Blazers","2","2","28","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","0","122","1","0","20051220","DET","POR"
"Shot Chart Detail","0020500355","332","101127","Jarrett Jack","1610612757","Portland Trail Blazers","4","9","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-154","0","1","1","20051220","DET","POR"
