"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600106","147","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","10","28","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","2","1","1","20161109","NYK","BKN"
"Shot Chart Detail","0021600106","437","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","8","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","3","1","0","20161109","NYK","BKN"
"Shot Chart Detail","0021600106","556","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","0","4","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-237","72","1","1","20161109","NYK","BKN"
"Shot Chart Detail","0021600139","183","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","8","36","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","7","1","1","20161112","PHX","BKN"
"Shot Chart Detail","0021600139","425","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","3","2","8","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","28","137","252","1","0","20161112","PHX","BKN"
"Shot Chart Detail","0021600139","480","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","9","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","230","101","1","0","20161112","PHX","BKN"
"Shot Chart Detail","0021600152","148","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","10","25","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","127","214","1","1","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","167","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","7","57","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","181","56","1","0","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","192","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","6","1","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","8","1","1","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","205","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","4","11","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-37","178","1","1","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","208","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","3","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-79","228","1","0","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","368","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","3","1","48","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","55","159","1","1","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","370","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","3","1","9","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","10","-63","80","1","0","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","383","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","3","0","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-196","141","1","0","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","439","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","7","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","174","170","1","0","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","476","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","4","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-35","46","1","0","20161114","LAC","BKN"
"Shot Chart Detail","0021600152","490","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","2","56","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","125","213","1","1","20161114","LAC","BKN"
"Shot Chart Detail","0021600157","99","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","1","1","16","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-134","222","1","0","20161115","LAL","BKN"
"Shot Chart Detail","0021600157","393","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","3","2","26","Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","8","251","1","1","20161115","LAL","BKN"
"Shot Chart Detail","0021600157","410","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","3","1","9","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","16","1","1","20161115","LAL","BKN"
"Shot Chart Detail","0021600157","528","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","4","35","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","27","-57","266","1","1","20161115","LAL","BKN"
"Shot Chart Detail","0021600157","567","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","1","25","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","18","1","0","20161115","LAL","BKN"
"Shot Chart Detail","0021600178","270","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","161","198","1","0","20161118","OKC","BKN"
"Shot Chart Detail","0021600178","422","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","11","11","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-138","47","1","1","20161118","OKC","BKN"
"Shot Chart Detail","0021600178","494","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","5","43","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-19","13","1","0","20161118","OKC","BKN"
"Shot Chart Detail","0021600178","518","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","4","10","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","15","247","1","0","20161118","OKC","BKN"
"Shot Chart Detail","0021600178","564","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","0","17","Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-1","242","1","0","20161118","OKC","BKN"
"Shot Chart Detail","0021600194","124","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","11","32","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-225","-16","1","0","20161120","BKN","POR"
"Shot Chart Detail","0021600194","364","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","11","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-97","237","1","0","20161120","BKN","POR"
"Shot Chart Detail","0021600194","373","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","10","7","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","1","159","1","0","20161120","BKN","POR"
"Shot Chart Detail","0021600217","120","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","1","0","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","14","242","1","0","20161123","BKN","BOS"
"Shot Chart Detail","0021600217","131","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","1","0","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","133","110","1","0","20161123","BKN","BOS"
"Shot Chart Detail","0021600217","519","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","0","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","191","-6","1","0","20161123","BKN","BOS"
"Shot Chart Detail","0021600234","97","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","1","1","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","33","252","1","0","20161125","IND","BKN"
"Shot Chart Detail","0021600234","110","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","11","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","181","38","1","0","20161125","IND","BKN"
"Shot Chart Detail","0021600234","119","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","10","51","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","91","134","1","0","20161125","IND","BKN"
"Shot Chart Detail","0021600234","151","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","8","9","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","35","257","1","1","20161125","IND","BKN"
"Shot Chart Detail","0021600234","156","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","7","9","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","19","16","1","1","20161125","IND","BKN"
"Shot Chart Detail","0021600234","263","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","3","8","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","150","203","1","0","20161125","IND","BKN"
"Shot Chart Detail","0021600234","469","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","2","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","1","247","1","0","20161125","IND","BKN"
"Shot Chart Detail","0021600234","490","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","1","0","Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-119","237","1","0","20161125","IND","BKN"
"Shot Chart Detail","0021600234","494","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","0","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","179","175","1","1","20161125","IND","BKN"
"Shot Chart Detail","0021600247","76","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","1","3","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","28","-192","214","1","0","20161127","BKN","SAC"
"Shot Chart Detail","0021600247","102","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","1","1","13","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-86","174","1","1","20161127","BKN","SAC"
"Shot Chart Detail","0021600247","111","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","1","0","28","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","115","223","1","1","20161127","BKN","SAC"
"Shot Chart Detail","0021600247","129","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","11","17","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","238","-21","1","0","20161127","BKN","SAC"
"Shot Chart Detail","0021600247","148","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","2","8","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","19","213","1","0","20161127","BKN","SAC"
"Shot Chart Detail","0021600247","520","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","0","27","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","6","242","1","0","20161127","BKN","SAC"
"Shot Chart Detail","0021600277","538","1627812","Yogi Ferrell","1610612751","Brooklyn Nets","4","0","30","Made Shot","Driving Bank Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","1","65","1","1","20161201","BKN","MIL"
"Shot Chart Detail","0021600717","3","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","11","27","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","123","149","1","0","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","50","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","6","1","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-27","244","1","1","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","54","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","5","30","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","14","1","0","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","132","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","2","10","42","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","130","213","1","0","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","164","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","2","8","13","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","14","120","1","0","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","256","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","2","1","11","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","7","1","1","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","265","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","2","0","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-147","213","1","0","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","322","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","3","5","27","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","0","1","1","20170129","SAS","DAL"
"Shot Chart Detail","0021600717","473","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","4","2","24","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","11","1","0","20170129","SAS","DAL"
"Shot Chart Detail","0021600722","34","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","8","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-197","144","1","0","20170130","DAL","CLE"
"Shot Chart Detail","0021600722","109","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","2","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-181","169","1","0","20170130","DAL","CLE"
"Shot Chart Detail","0021600722","123","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","2","8","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","89","136","1","1","20170130","DAL","CLE"
"Shot Chart Detail","0021600722","126","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","1","38","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","33","11","1","0","20170130","DAL","CLE"
"Shot Chart Detail","0021600722","129","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","1","1","20","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","50","239","1","1","20170130","DAL","CLE"
"Shot Chart Detail","0021600722","177","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","2","8","19","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-107","224","1","1","20170130","DAL","CLE"
"Shot Chart Detail","0021600722","213","1627812","Yogi Ferrell","1610612742","Dallas Mavericks","2","5","36","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-86","198","1","0","20170130","DAL","CLE"
