"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020300033","54","2590","Mo Williams","1610612762","Utah Jazz","1","5","11","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","-5","214","1","1","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","76","2590","Mo Williams","1610612762","Utah Jazz","1","3","2","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-112","132","1","1","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","87","2590","Mo Williams","1610612762","Utah Jazz","1","2","6","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","2","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","124","2590","Mo Williams","1610612762","Utah Jazz","2","11","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","197","10","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","343","2590","Mo Williams","1610612762","Utah Jazz","3","1","30","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","10","76","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","377","2590","Mo Williams","1610612762","Utah Jazz","4","11","18","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","67","240","1","1","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","381","2590","Mo Williams","1610612762","Utah Jazz","4","10","30","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","7","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","404","2590","Mo Williams","1610612762","Utah Jazz","4","8","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","418","2590","Mo Williams","1610612762","Utah Jazz","4","7","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","84","64","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","460","2590","Mo Williams","1610612762","Utah Jazz","4","2","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","16","133","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300033","479","2590","Mo Williams","1610612762","Utah Jazz","4","1","15","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031101","DAL","UTA"
"Shot Chart Detail","0020300046","97","2590","Mo Williams","1610612762","Utah Jazz","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","54","16","549","1","0","20031103","UTA","MIN"
"Shot Chart Detail","0020300046","104","2590","Mo Williams","1610612762","Utah Jazz","2","11","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","22","-200","109","1","0","20031103","UTA","MIN"
"Shot Chart Detail","0020300046","122","2590","Mo Williams","1610612762","Utah Jazz","2","8","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-92","117","1","1","20031103","UTA","MIN"
"Shot Chart Detail","0020300046","128","2590","Mo Williams","1610612762","Utah Jazz","2","8","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031103","UTA","MIN"
"Shot Chart Detail","0020300046","134","2590","Mo Williams","1610612762","Utah Jazz","2","7","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-89","43","1","0","20031103","UTA","MIN"
"Shot Chart Detail","0020300046","148","2590","Mo Williams","1610612762","Utah Jazz","2","5","31","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031103","UTA","MIN"
"Shot Chart Detail","0020300046","272","2590","Mo Williams","1610612762","Utah Jazz","3","4","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-69","174","1","0","20031103","UTA","MIN"
"Shot Chart Detail","0020300160","340","2590","Mo Williams","1610612762","Utah Jazz","3","0","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031119","UTA","SAC"
"Shot Chart Detail","0020300160","354","2590","Mo Williams","1610612762","Utah Jazz","4","11","18","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-62","69","1","1","20031119","UTA","SAC"
"Shot Chart Detail","0020300160","363","2590","Mo Williams","1610612762","Utah Jazz","4","10","20","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031119","UTA","SAC"
"Shot Chart Detail","0020300206","79","2590","Mo Williams","1610612762","Utah Jazz","1","2","38","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","90","2590","Mo Williams","1610612762","Utah Jazz","1","1","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","179","72","1","0","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","133","2590","Mo Williams","1610612762","Utah Jazz","2","9","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-148","104","1","0","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","219","2590","Mo Williams","1610612762","Utah Jazz","2","1","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","102","156","1","0","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","229","2590","Mo Williams","1610612762","Utah Jazz","2","0","9","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","302","2590","Mo Williams","1610612762","Utah Jazz","3","4","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-80","194","1","0","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","316","2590","Mo Williams","1610612762","Utah Jazz","3","2","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","346","2590","Mo Williams","1610612762","Utah Jazz","3","0","0","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","355","2590","Mo Williams","1610612762","Utah Jazz","4","11","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","108","146","1","0","20031126","UTA","HOU"
"Shot Chart Detail","0020300206","385","2590","Mo Williams","1610612762","Utah Jazz","4","7","10","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-195","-36","1","1","20031126","UTA","HOU"
"Shot Chart Detail","0020300218","98","2590","Mo Williams","1610612762","Utah Jazz","1","0","29","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-64","33","1","0","20031128","UTA","SEA"
"Shot Chart Detail","0020300218","146","2590","Mo Williams","1610612762","Utah Jazz","2","7","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","95","194","1","1","20031128","UTA","SEA"
"Shot Chart Detail","0020300218","207","2590","Mo Williams","1610612762","Utah Jazz","2","1","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","204","-6","1","0","20031128","UTA","SEA"
"Shot Chart Detail","0020300218","222","2590","Mo Williams","1610612762","Utah Jazz","2","0","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","120","145","1","0","20031128","UTA","SEA"
"Shot Chart Detail","0020300218","228","2590","Mo Williams","1610612762","Utah Jazz","2","0","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031128","UTA","SEA"
"Shot Chart Detail","0020300218","454","2590","Mo Williams","1610612762","Utah Jazz","4","0","33","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","8","127","1","1","20031128","UTA","SEA"
"Shot Chart Detail","0020300238","48","2590","Mo Williams","1610612762","Utah Jazz","1","5","19","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-181","59","1","1","20031201","UTA","NJN"
"Shot Chart Detail","0020300238","101","2590","Mo Williams","1610612762","Utah Jazz","2","10","34","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031201","UTA","NJN"
"Shot Chart Detail","0020300238","133","2590","Mo Williams","1610612762","Utah Jazz","2","7","0","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","84","214","1","1","20031201","UTA","NJN"
"Shot Chart Detail","0020300238","198","2590","Mo Williams","1610612762","Utah Jazz","2","0","32","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-126","174","1","1","20031201","UTA","NJN"
"Shot Chart Detail","0020300238","327","2590","Mo Williams","1610612762","Utah Jazz","4","11","27","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-133","155","1","1","20031201","UTA","NJN"
"Shot Chart Detail","0020300250","99","2590","Mo Williams","1610612762","Utah Jazz","1","0","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-103","69","1","1","20031203","HOU","UTA"
"Shot Chart Detail","0020300250","140","2590","Mo Williams","1610612762","Utah Jazz","2","7","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-151","17","1","0","20031203","HOU","UTA"
"Shot Chart Detail","0020300250","206","2590","Mo Williams","1610612762","Utah Jazz","2","0","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-168","13","1","1","20031203","HOU","UTA"
"Shot Chart Detail","0020300250","319","2590","Mo Williams","1610612762","Utah Jazz","3","0","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","44","-209","388","1","0","20031203","HOU","UTA"
"Shot Chart Detail","0020300250","347","2590","Mo Williams","1610612762","Utah Jazz","4","9","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031203","HOU","UTA"
"Shot Chart Detail","0020300250","477","2590","Mo Williams","1610612762","Utah Jazz","5","3","22","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031203","HOU","UTA"
"Shot Chart Detail","0020300250","512","2590","Mo Williams","1610612762","Utah Jazz","5","0","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","167","56","1","0","20031203","HOU","UTA"
"Shot Chart Detail","0020300267","109","2590","Mo Williams","1610612762","Utah Jazz","2","9","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","167","146","1","0","20031205","UTA","LAC"
"Shot Chart Detail","0020300267","118","2590","Mo Williams","1610612762","Utah Jazz","2","8","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-159","51","1","0","20031205","UTA","LAC"
"Shot Chart Detail","0020300267","312","2590","Mo Williams","1610612762","Utah Jazz","4","11","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","149","161","1","0","20031205","UTA","LAC"
"Shot Chart Detail","0020300267","331","2590","Mo Williams","1610612762","Utah Jazz","4","9","38","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031205","UTA","LAC"
"Shot Chart Detail","0020300267","346","2590","Mo Williams","1610612762","Utah Jazz","4","8","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","177","128","1","1","20031205","UTA","LAC"
"Shot Chart Detail","0020300267","402","2590","Mo Williams","1610612762","Utah Jazz","4","3","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-126","164","1","1","20031205","UTA","LAC"
"Shot Chart Detail","0020300267","443","2590","Mo Williams","1610612762","Utah Jazz","4","0","12","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031205","UTA","LAC"
"Shot Chart Detail","0020300284","86","2590","Mo Williams","1610612762","Utah Jazz","1","0","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","97","2590","Mo Williams","1610612762","Utah Jazz","1","0","28","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","138","2590","Mo Williams","1610612762","Utah Jazz","2","7","31","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-89","166","1","1","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","231","2590","Mo Williams","1610612762","Utah Jazz","2","0","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-44","81","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","236","2590","Mo Williams","1610612762","Utah Jazz","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","27","44","270","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","348","2590","Mo Williams","1610612762","Utah Jazz","3","0","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","6","174","1","1","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","359","2590","Mo Williams","1610612762","Utah Jazz","4","11","4","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","8","51","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","382","2590","Mo Williams","1610612762","Utah Jazz","4","9","31","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","393","2590","Mo Williams","1610612762","Utah Jazz","4","8","16","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","98","125","1","1","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","421","2590","Mo Williams","1610612762","Utah Jazz","4","5","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","144","127","1","1","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","425","2590","Mo Williams","1610612762","Utah Jazz","4","5","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","52","49","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","459","2590","Mo Williams","1610612762","Utah Jazz","4","2","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","143","76","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","480","2590","Mo Williams","1610612762","Utah Jazz","4","0","36","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-95","163","1","1","20031207","LAL","UTA"
"Shot Chart Detail","0020300284","491","2590","Mo Williams","1610612762","Utah Jazz","4","0","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","192","59","1","0","20031207","LAL","UTA"
"Shot Chart Detail","0020300288","100","2590","Mo Williams","1610612762","Utah Jazz","2","11","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","118","145","1","0","20031208","UTA","BOS"
"Shot Chart Detail","0020300288","328","2590","Mo Williams","1610612762","Utah Jazz","4","10","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-26","164","1","0","20031208","UTA","BOS"
"Shot Chart Detail","0020300288","352","2590","Mo Williams","1610612762","Utah Jazz","4","8","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-171","123","1","0","20031208","UTA","BOS"
"Shot Chart Detail","0020300288","354","2590","Mo Williams","1610612762","Utah Jazz","4","7","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-192","-32","1","1","20031208","UTA","BOS"
"Shot Chart Detail","0020300304","103","2590","Mo Williams","1610612762","Utah Jazz","2","11","39","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","138","174","1","0","20031210","UTA","NYK"
"Shot Chart Detail","0020300304","130","2590","Mo Williams","1610612762","Utah Jazz","2","8","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-187","-11","1","0","20031210","UTA","NYK"
"Shot Chart Detail","0020300304","140","2590","Mo Williams","1610612762","Utah Jazz","2","7","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","141","125","1","0","20031210","UTA","NYK"
"Shot Chart Detail","0020300304","322","2590","Mo Williams","1610612762","Utah Jazz","3","0","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031210","UTA","NYK"
"Shot Chart Detail","0020300304","458","2590","Mo Williams","1610612762","Utah Jazz","4","0","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-191","-31","1","0","20031210","UTA","NYK"
"Shot Chart Detail","0020300317","193","2590","Mo Williams","1610612762","Utah Jazz","2","0","30","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","24","30","1","0","20031212","UTA","SAC"
"Shot Chart Detail","0020300350","187","2590","Mo Williams","1610612762","Utah Jazz","2","0","37","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031217","NJN","UTA"
"Shot Chart Detail","0020300350","452","2590","Mo Williams","1610612762","Utah Jazz","4","1","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-159","56","1","0","20031217","NJN","UTA"
"Shot Chart Detail","0020300350","465","2590","Mo Williams","1610612762","Utah Jazz","4","0","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-166","31","1","0","20031217","NJN","UTA"
"Shot Chart Detail","0020300383","127","2590","Mo Williams","1610612762","Utah Jazz","2","8","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031221","DET","UTA"
"Shot Chart Detail","0020300383","135","2590","Mo Williams","1610612762","Utah Jazz","2","7","31","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-5","22","1","1","20031221","DET","UTA"
"Shot Chart Detail","0020300383","159","2590","Mo Williams","1610612762","Utah Jazz","2","5","12","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","113","114","1","0","20031221","DET","UTA"
"Shot Chart Detail","0020300383","204","2590","Mo Williams","1610612762","Utah Jazz","2","1","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","126","148","1","0","20031221","DET","UTA"
"Shot Chart Detail","0020300383","214","2590","Mo Williams","1610612762","Utah Jazz","2","0","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-41","8","1","0","20031221","DET","UTA"
"Shot Chart Detail","0020300383","418","2590","Mo Williams","1610612762","Utah Jazz","4","4","8","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","16","23","1","1","20031221","DET","UTA"
"Shot Chart Detail","0020300383","452","2590","Mo Williams","1610612762","Utah Jazz","4","0","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-215","135","1","0","20031221","DET","UTA"
"Shot Chart Detail","0020300428","217","2590","Mo Williams","1610612762","Utah Jazz","2","0","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-10","260","1","0","20031228","SAC","UTA"
"Shot Chart Detail","0020300459","413","2590","Mo Williams","1610612762","Utah Jazz","4","2","20","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","6","69","1","0","20040102","MEM","UTA"
"Shot Chart Detail","0020300470","106","2590","Mo Williams","1610612762","Utah Jazz","2","9","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-181","53","1","0","20040103","HOU","UTA"
"Shot Chart Detail","0020300470","327","2590","Mo Williams","1610612762","Utah Jazz","4","8","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-5","225","1","0","20040103","HOU","UTA"
"Shot Chart Detail","0020300470","392","2590","Mo Williams","1610612762","Utah Jazz","4","2","47","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20040103","HOU","UTA"
"Shot Chart Detail","0020300470","400","2590","Mo Williams","1610612762","Utah Jazz","4","2","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-135","148","1","0","20040103","HOU","UTA"
"Shot Chart Detail","0020300522","440","2590","Mo Williams","1610612762","Utah Jazz","4","2","43","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-82","194","1","1","20040110","UTA","ATL"
"Shot Chart Detail","0020300522","456","2590","Mo Williams","1610612762","Utah Jazz","4","1","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","23","202","128","1","0","20040110","UTA","ATL"
"Shot Chart Detail","0020300522","462","2590","Mo Williams","1610612762","Utah Jazz","4","1","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","192","-19","1","1","20040110","UTA","ATL"
"Shot Chart Detail","0020300522","465","2590","Mo Williams","1610612762","Utah Jazz","4","0","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","23","215","104","1","0","20040110","UTA","ATL"
"Shot Chart Detail","0020300588","77","2590","Mo Williams","1610612762","Utah Jazz","1","2","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-164","2","1","0","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","95","2590","Mo Williams","1610612762","Utah Jazz","1","0","30","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","102","2590","Mo Williams","1610612762","Utah Jazz","2","11","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","200","3","1","0","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","127","2590","Mo Williams","1610612762","Utah Jazz","2","8","39","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","182","-9","1","1","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","135","2590","Mo Williams","1610612762","Utah Jazz","2","7","34","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","31","25","1","0","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","165","2590","Mo Williams","1610612762","Utah Jazz","2","4","0","Missed Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","22","1","0","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","191","2590","Mo Williams","1610612762","Utah Jazz","2","1","26","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-126","107","1","1","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","299","2590","Mo Williams","1610612762","Utah Jazz","3","1","12","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-75","155","1","1","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","303","2590","Mo Williams","1610612762","Utah Jazz","3","0","0","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-189","-1","1","1","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","308","2590","Mo Williams","1610612762","Utah Jazz","4","11","16","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","0","1","1","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","327","2590","Mo Williams","1610612762","Utah Jazz","4","8","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","107","125","1","0","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","415","2590","Mo Williams","1610612762","Utah Jazz","4","1","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","189","179","1","0","20040119","GSW","UTA"
"Shot Chart Detail","0020300588","423","2590","Mo Williams","1610612762","Utah Jazz","4","1","3","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20040119","GSW","UTA"
"Shot Chart Detail","0020300594","80","2590","Mo Williams","1610612762","Utah Jazz","1","1","52","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","0","59","1","1","20040120","UTA","DEN"
"Shot Chart Detail","0020300594","84","2590","Mo Williams","1610612762","Utah Jazz","1","1","15","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","18","66","1","0","20040120","UTA","DEN"
"Shot Chart Detail","0020300594","131","2590","Mo Williams","1610612762","Utah Jazz","2","9","30","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","238","-14","1","0","20040120","UTA","DEN"
