"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020100001","343","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","3","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","167","-19","1","0","20011030","CLE","BOS"
"Shot Chart Detail","0020100230","106","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","1","19","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-1","21","1","0","20011201","CLE","CHH"
"Shot Chart Detail","0020100310","447","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","2","11","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","89","21","1","0","20011213","DAL","CLE"
"Shot Chart Detail","0020100310","467","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","0","39","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011213","DAL","CLE"
"Shot Chart Detail","0020100310","469","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","0","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011213","DAL","CLE"
"Shot Chart Detail","0020100418","343","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","0","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","85","80","1","0","20011229","CHI","CLE"
"Shot Chart Detail","0020100418","359","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","10","38","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-48","30","1","0","20011229","CHI","CLE"
"Shot Chart Detail","0020100418","374","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","9","27","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011229","CHI","CLE"
"Shot Chart Detail","0020100418","392","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","7","5","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011229","CHI","CLE"
"Shot Chart Detail","0020100474","342","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","9","47","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","0","1","1","20020107","CLE","POR"
"Shot Chart Detail","0020100474","348","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","9","16","Made Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","81","0","1","1","20020107","CLE","POR"
"Shot Chart Detail","0020100474","396","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","3","31","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","87","144","1","1","20020107","CLE","POR"
"Shot Chart Detail","0020100521","337","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","8","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","193","17","1","0","20020113","POR","CLE"
"Shot Chart Detail","0020100521","405","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020113","POR","CLE"
"Shot Chart Detail","0020100597","446","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","22","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","62","116","1","1","20020124","WAS","CLE"
"Shot Chart Detail","0020100597","459","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","0","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-117","-23","1","0","20020124","WAS","CLE"
"Shot Chart Detail","0020100626","454","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","5","31","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","37","28","1","0","20020129","CLE","MIN"
"Shot Chart Detail","0020100626","479","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","3","53","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","-1","1","0","20020129","CLE","MIN"
"Shot Chart Detail","0020100679","494","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","0","11","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","77","21","1","0","20020205","ORL","CLE"
"Shot Chart Detail","0020100679","501","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","0","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-145","51","1","1","20020205","ORL","CLE"
"Shot Chart Detail","0020100698","386","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","8","26","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","18","61","1","0","20020212","CLE","TOR"
"Shot Chart Detail","0020100712","42","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","6","25","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","16","125","1","0","20020213","MIL","CLE"
"Shot Chart Detail","0020100712","66","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","3","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20020213","MIL","CLE"
"Shot Chart Detail","0020100748","340","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","1","38","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","7","1","0","20020218","CLE","UTA"
"Shot Chart Detail","0020100748","484","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","40","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","11","1","0","20020218","CLE","UTA"
"Shot Chart Detail","0020100776","22","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","9","21","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-48","63","1","1","20020222","IND","CLE"
"Shot Chart Detail","0020100776","61","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","5","29","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-12","51","1","0","20020222","IND","CLE"
"Shot Chart Detail","0020100802","3","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","11","19","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-10","57","1","1","20020226","CLE","SEA"
"Shot Chart Detail","0020100802","18","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","8","52","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","56","4","1","1","20020226","CLE","SEA"
"Shot Chart Detail","0020200002","35","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","8","19","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-131","46","1","0","20021029","SAC","CLE"
"Shot Chart Detail","0020200002","284","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","11","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","5","169","1","0","20021029","SAC","CLE"
"Shot Chart Detail","0020200053","481","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","8","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","18","1","0","20021105","CLE","LAL"
"Shot Chart Detail","0020200053","482","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","0","20021105","CLE","LAL"
"Shot Chart Detail","0020200101","290","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","4","55","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-54","25","1","0","20021112","IND","CLE"
"Shot Chart Detail","0020200101","307","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","2","49","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-2","51","1","0","20021112","IND","CLE"
"Shot Chart Detail","0020200101","309","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","2","47","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","3","1","0","20021112","IND","CLE"
"Shot Chart Detail","0020200101","436","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-33","97","1","0","20021112","IND","CLE"
"Shot Chart Detail","0020200132","50","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","5","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","94","22","1","0","20021116","CLE","SAS"
"Shot Chart Detail","0020200132","407","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","5","20","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","156","-26","1","0","20021116","CLE","SAS"
"Shot Chart Detail","0020200132","431","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","2","58","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-133","-19","1","1","20021116","CLE","SAS"
"Shot Chart Detail","0020200132","437","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-5","51","1","0","20021116","CLE","SAS"
"Shot Chart Detail","0020200146","110","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","0","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","192","-11","1","0","20021118","SAS","CLE"
"Shot Chart Detail","0020200170","194","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","5","2","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021122","NJN","CLE"
"Shot Chart Detail","0020200170","197","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","4","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021122","NJN","CLE"
"Shot Chart Detail","0020200170","226","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","2","33","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021122","NJN","CLE"
"Shot Chart Detail","0020200170","467","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","1","18","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-79","35","1","0","20021122","NJN","CLE"
"Shot Chart Detail","0020200182","117","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","0","26","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-15","140","1","1","20021123","CLE","NOH"
"Shot Chart Detail","0020200182","143","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","22","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","1","20021123","CLE","NOH"
"Shot Chart Detail","0020200182","149","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","9","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20021123","CLE","NOH"
"Shot Chart Detail","0020200182","402","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","7","18","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","17","1","1","20021123","CLE","NOH"
"Shot Chart Detail","0020200198","136","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","0","158","1","1","20021126","CLE","SAC"
"Shot Chart Detail","0020200198","164","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","7","42","Made Shot","Jump Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-3","1","1","20021126","CLE","SAC"
"Shot Chart Detail","0020200209","149","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","9","41","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","13","63","1","0","20021127","MIL","CLE"
"Shot Chart Detail","0020200209","408","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","7","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","113","82","1","0","20021127","MIL","CLE"
"Shot Chart Detail","0020200209","431","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","3","36","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-72","61","1","0","20021127","MIL","CLE"
"Shot Chart Detail","0020200219","105","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","1","15","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","-14","1","0","20021129","CLE","PHI"
"Shot Chart Detail","0020200219","112","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","0","40","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","2","1","1","20021129","CLE","PHI"
"Shot Chart Detail","0020200232","85","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","1","4","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","-61","125","1","0","20021130","MIA","CLE"
"Shot Chart Detail","0020200232","148","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","5","56","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","14","52","130","1","0","20021130","MIA","CLE"
"Shot Chart Detail","0020200245","314","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","2","43","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-75","2","1","0","20021202","NYK","CLE"
"Shot Chart Detail","0020200245","344","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","11","25","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","3","53","1","0","20021202","NYK","CLE"
"Shot Chart Detail","0020200245","355","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","10","46","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021202","NYK","CLE"
"Shot Chart Detail","0020200245","421","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","5","23","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","79","66","1","1","20021202","NYK","CLE"
"Shot Chart Detail","0020200257","64","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","4","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","2","1","1","20021204","CLE","CHI"
"Shot Chart Detail","0020200257","108","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","1","43","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","5","1","0","20021204","CLE","CHI"
"Shot Chart Detail","0020200257","140","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","0","1","0","20021204","CLE","CHI"
"Shot Chart Detail","0020200257","142","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","28","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20021204","CLE","CHI"
"Shot Chart Detail","0020200257","145","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","4","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-46","84","1","0","20021204","CLE","CHI"
"Shot Chart Detail","0020200257","421","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","8","50","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","117","-11","1","1","20021204","CLE","CHI"
"Shot Chart Detail","0020200294","108","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","11","21","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-100","-8","1","0","20021209","CLE","MIL"
"Shot Chart Detail","0020200294","110","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","11","15","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-87","10","1","1","20021209","CLE","MIL"
"Shot Chart Detail","0020200309","201","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","6","40","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","5","1","0","20021211","CLE","TOR"
"Shot Chart Detail","0020200320","354","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","1","28","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20021213","BOS","CLE"
"Shot Chart Detail","0020200343","125","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","0","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","13","176","1","0","20021216","CLE","SEA"
"Shot Chart Detail","0020200359","344","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","3","51","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","0","1","1","20021218","CLE","DET"
"Shot Chart Detail","0020200373","105","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","0","1","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","39","12","1","0","20021220","DET","CLE"
"Shot Chart Detail","0020200373","367","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","11","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","141","3","1","0","20021220","DET","CLE"
"Shot Chart Detail","0020200382","450","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","4","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-3","100","1","0","20021221","CLE","BOS"
"Shot Chart Detail","0020200396","96","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","1","48","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","3","31","1","0","20021223","CLE","MIA"
"Shot Chart Detail","0020200396","98","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","1","1","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","7","1","0","20021223","CLE","MIA"
"Shot Chart Detail","0020200410","455","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","5","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","128","35","1","1","20021227","CLE","IND"
"Shot Chart Detail","0020200410","466","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","3","38","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","18","30","1","0","20021227","CLE","IND"
"Shot Chart Detail","0020200429","361","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","4","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","-3","1","0","20021229","CLE","PHX"
"Shot Chart Detail","0020200429","376","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","3","27","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","29","23","1","0","20021229","CLE","PHX"
"Shot Chart Detail","0020200429","403","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","0","42","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","13","17","1","0","20021229","CLE","PHX"
"Shot Chart Detail","0020200429","429","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","10","5","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-21","104","1","0","20021229","CLE","PHX"
"Shot Chart Detail","0020200429","447","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","8","9","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-5","1","0","20021229","CLE","PHX"
"Shot Chart Detail","0020200429","449","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","8","7","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","0","20021229","CLE","PHX"
"Shot Chart Detail","0020200434","315","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","3","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021230","NJN","CLE"
"Shot Chart Detail","0020200434","401","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","6","1","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-89","33","1","0","20021230","NJN","CLE"
"Shot Chart Detail","0020200434","403","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","5","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021230","NJN","CLE"
"Shot Chart Detail","0020200480","137","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","9","17","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","2","1","1","20030106","CLE","MIL"
"Shot Chart Detail","0020200480","161","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","7","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-85","143","1","1","20030106","CLE","MIL"
"Shot Chart Detail","0020200480","187","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","4","47","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","20","1","0","20030106","CLE","MIL"
"Shot Chart Detail","0020200480","387","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","11","1","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","5","1","0","20030106","CLE","MIL"
"Shot Chart Detail","0020200516","135","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","17","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20030110","LAL","CLE"
"Shot Chart Detail","0020200529","352","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","2","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-128","128","1","1","20030112","SEA","CLE"
"Shot Chart Detail","0020200529","364","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","3","0","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","3","150","1","0","20030112","SEA","CLE"
"Shot Chart Detail","0020200535","114","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","11","5","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-15","45","1","1","20030113","POR","CLE"
"Shot Chart Detail","0020200535","389","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","7","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-100","76","1","0","20030113","POR","CLE"
"Shot Chart Detail","0020200535","399","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","6","45","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-87","118","1","0","20030113","POR","CLE"
"Shot Chart Detail","0020200535","417","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","4","4","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-92","76","1","0","20030113","POR","CLE"
"Shot Chart Detail","0020200552","140","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","33","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20030115","GSW","CLE"
"Shot Chart Detail","0020200552","148","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","9","48","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","90","87","1","1","20030115","GSW","CLE"
"Shot Chart Detail","0020200552","202","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","4","18","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-26","33","1","0","20030115","GSW","CLE"
"Shot Chart Detail","0020200561","122","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","10","55","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-48","82","1","1","20030117","DEN","CLE"
"Shot Chart Detail","0020200571","175","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","5","40","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20030118","UTA","CLE"
"Shot Chart Detail","0020200588","123","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","11","11","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","3","1","1","20030121","CLE","ORL"
"Shot Chart Detail","0020200588","149","2205","DeSagana Diop","1610612739","Cleveland Cavaliers","2","8","34","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-44","82","1","0","20030121","CLE","ORL"
