"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100001","78","202697","Iman Shumpert","1610612752","New York Knicks","1","5","24","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","236","-27","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","81","202697","Iman Shumpert","1610612752","New York Knicks","1","4","36","Missed Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","11","-65","93","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","100","202697","Iman Shumpert","1610612752","New York Knicks","1","3","17","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","6","1","1","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","150","202697","Iman Shumpert","1610612752","New York Knicks","1","0","22","Missed Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","23","47","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","152","202697","Iman Shumpert","1610612752","New York Knicks","1","0","19","Made Shot","Hook Bank Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","23","31","1","1","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","160","202697","Iman Shumpert","1610612752","New York Knicks","1","0","0","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-136","123","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","177","202697","Iman Shumpert","1610612752","New York Knicks","2","10","5","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","3","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","217","202697","Iman Shumpert","1610612752","New York Knicks","2","7","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-152","145","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","223","202697","Iman Shumpert","1610612752","New York Knicks","2","5","54","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","7","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","264","202697","Iman Shumpert","1610612752","New York Knicks","2","2","8","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","11","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","272","202697","Iman Shumpert","1610612752","New York Knicks","2","1","9","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-18","14","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","380","202697","Iman Shumpert","1610612752","New York Knicks","3","7","18","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","12","1","0","20111225","NYK","BOS"
"Shot Chart Detail","0021100001","446","202697","Iman Shumpert","1610612752","New York Knicks","3","1","21","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","51","143","1","1","20111225","NYK","BOS"
"Shot Chart Detail","0021100085","55","202697","Iman Shumpert","1610612752","New York Knicks","1","4","43","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-18","187","1","1","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","60","202697","Iman Shumpert","1610612752","New York Knicks","1","3","34","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-76","239","1","1","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","75","202697","Iman Shumpert","1610612752","New York Knicks","1","1","47","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","6","1","0","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","124","202697","Iman Shumpert","1610612752","New York Knicks","2","9","20","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","233","60","1","0","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","204","202697","Iman Shumpert","1610612752","New York Knicks","2","3","37","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","0","1","1","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","217","202697","Iman Shumpert","1610612752","New York Knicks","2","2","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-166","181","1","1","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","302","202697","Iman Shumpert","1610612752","New York Knicks","3","6","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","181","178","1","1","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","320","202697","Iman Shumpert","1610612752","New York Knicks","3","4","44","Missed Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","62","42","1","0","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","346","202697","Iman Shumpert","1610612752","New York Knicks","3","2","19","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","-14","1","1","20120104","NYK","CHA"
"Shot Chart Detail","0021100085","368","202697","Iman Shumpert","1610612752","New York Knicks","4","11","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-155","192","1","0","20120104","NYK","CHA"
"Shot Chart Detail","0021100100","66","202697","Iman Shumpert","1610612752","New York Knicks","1","4","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","162","113","1","0","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","104","202697","Iman Shumpert","1610612752","New York Knicks","1","2","32","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","-16","1","1","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","163","202697","Iman Shumpert","1610612752","New York Knicks","2","9","29","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","-13","1","1","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","171","202697","Iman Shumpert","1610612752","New York Knicks","2","8","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","170","113","1","0","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","224","202697","Iman Shumpert","1610612752","New York Knicks","2","4","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","193","159","1","0","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","227","202697","Iman Shumpert","1610612752","New York Knicks","2","4","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-217","151","1","0","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","296","202697","Iman Shumpert","1610612752","New York Knicks","3","10","22","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","236","26","1","0","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","429","202697","Iman Shumpert","1610612752","New York Knicks","4","9","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-2","201","1","0","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","436","202697","Iman Shumpert","1610612752","New York Knicks","4","8","33","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-228","126","1","1","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","456","202697","Iman Shumpert","1610612752","New York Knicks","4","5","57","Made Shot","Driving Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-40","52","1","1","20120106","WAS","NYK"
"Shot Chart Detail","0021100100","494","202697","Iman Shumpert","1610612752","New York Knicks","4","3","20","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-246","-25","1","0","20120106","WAS","NYK"
"Shot Chart Detail","0021100113","19","202697","Iman Shumpert","1610612752","New York Knicks","1","9","37","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-166","190","1","1","20120107","DET","NYK"
"Shot Chart Detail","0021100113","37","202697","Iman Shumpert","1610612752","New York Knicks","1","7","39","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","3","1","1","20120107","DET","NYK"
"Shot Chart Detail","0021100113","42","202697","Iman Shumpert","1610612752","New York Knicks","1","6","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-54","201","1","0","20120107","DET","NYK"
"Shot Chart Detail","0021100113","258","202697","Iman Shumpert","1610612752","New York Knicks","3","10","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-163","206","1","0","20120107","DET","NYK"
"Shot Chart Detail","0021100113","274","202697","Iman Shumpert","1610612752","New York Knicks","3","8","46","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","4","1","1","20120107","DET","NYK"
"Shot Chart Detail","0021100113","438","202697","Iman Shumpert","1610612752","New York Knicks","4","7","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","146","140","1","0","20120107","DET","NYK"
"Shot Chart Detail","0021100113","452","202697","Iman Shumpert","1610612752","New York Knicks","4","5","29","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","47","22","1","0","20120107","DET","NYK"
"Shot Chart Detail","0021100113","458","202697","Iman Shumpert","1610612752","New York Knicks","4","4","42","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","7","1","1","20120107","DET","NYK"
"Shot Chart Detail","0021100113","468","202697","Iman Shumpert","1610612752","New York Knicks","4","3","49","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","0","1","1","20120107","DET","NYK"
"Shot Chart Detail","0021100113","489","202697","Iman Shumpert","1610612752","New York Knicks","4","0","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-134","227","1","0","20120107","DET","NYK"
"Shot Chart Detail","0021100129","12","202697","Iman Shumpert","1610612752","New York Knicks","1","10","2","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","122","157","1","0","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","44","202697","Iman Shumpert","1610612752","New York Knicks","1","6","10","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","114","217","1","0","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","47","202697","Iman Shumpert","1610612752","New York Knicks","1","5","46","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","7","1","1","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","57","202697","Iman Shumpert","1610612752","New York Knicks","1","4","15","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","15","1","1","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","65","202697","Iman Shumpert","1610612752","New York Knicks","1","3","32","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","125","127","1","1","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","192","202697","Iman Shumpert","1610612752","New York Knicks","2","6","47","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","31","6","1","1","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","225","202697","Iman Shumpert","1610612752","New York Knicks","2","3","44","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","4","1","1","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","229","202697","Iman Shumpert","1610612752","New York Knicks","2","2","45","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","39","1","0","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","246","202697","Iman Shumpert","1610612752","New York Knicks","2","1","10","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-46","78","1","1","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","251","202697","Iman Shumpert","1610612752","New York Knicks","2","0","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","133","15","1","0","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","275","202697","Iman Shumpert","1610612752","New York Knicks","3","11","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-92","97","1","0","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","328","202697","Iman Shumpert","1610612752","New York Knicks","3","5","38","Made Shot","Running Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","0","1","1","20120109","NYK","CHA"
"Shot Chart Detail","0021100129","361","202697","Iman Shumpert","1610612752","New York Knicks","3","2","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","1","181","1","0","20120109","NYK","CHA"
"Shot Chart Detail","0021100145","14","202697","Iman Shumpert","1610612752","New York Knicks","1","9","44","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","106","172","1","1","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","43","202697","Iman Shumpert","1610612752","New York Knicks","1","5","36","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","92","37","1","1","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","162","202697","Iman Shumpert","1610612752","New York Knicks","2","3","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-152","194","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","178","202697","Iman Shumpert","1610612752","New York Knicks","2","2","25","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-32","14","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","189","202697","Iman Shumpert","1610612752","New York Knicks","2","0","57","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-82","228","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","202","202697","Iman Shumpert","1610612752","New York Knicks","2","0","18","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","32","30","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","208","202697","Iman Shumpert","1610612752","New York Knicks","2","0","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","143","0","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","216","202697","Iman Shumpert","1610612752","New York Knicks","3","11","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","86","53","1","1","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","225","202697","Iman Shumpert","1610612752","New York Knicks","3","10","23","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","92","71","1","1","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","227","202697","Iman Shumpert","1610612752","New York Knicks","3","9","53","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","73","239","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","299","202697","Iman Shumpert","1610612752","New York Knicks","3","3","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-45","244","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","373","202697","Iman Shumpert","1610612752","New York Knicks","4","9","26","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","43","168","1","1","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","391","202697","Iman Shumpert","1610612752","New York Knicks","4","7","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-199","137","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","396","202697","Iman Shumpert","1610612752","New York Knicks","4","7","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-149","211","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100145","435","202697","Iman Shumpert","1610612752","New York Knicks","4","4","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-101","181","1","0","20120111","NYK","PHI"
"Shot Chart Detail","0021100156","18","202697","Iman Shumpert","1610612752","New York Knicks","1","10","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","97","45","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","31","202697","Iman Shumpert","1610612752","New York Knicks","1","8","48","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","106","85","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","34","202697","Iman Shumpert","1610612752","New York Knicks","1","8","12","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-119","179","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","41","202697","Iman Shumpert","1610612752","New York Knicks","1","7","5","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","84","157","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","50","202697","Iman Shumpert","1610612752","New York Knicks","1","6","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-149","149","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","109","202697","Iman Shumpert","1610612752","New York Knicks","2","11","39","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","92","140","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","133","202697","Iman Shumpert","1610612752","New York Knicks","2","9","47","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","11","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","136","202697","Iman Shumpert","1610612752","New York Knicks","2","9","39","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","11","1","1","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","153","202697","Iman Shumpert","1610612752","New York Knicks","2","8","57","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-179","190","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","160","202697","Iman Shumpert","1610612752","New York Knicks","2","8","33","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","3","1","1","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","169","202697","Iman Shumpert","1610612752","New York Knicks","2","7","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","14","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","175","202697","Iman Shumpert","1610612752","New York Knicks","2","6","47","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","163","102","1","1","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","178","202697","Iman Shumpert","1610612752","New York Knicks","2","6","14","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","25","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","203","202697","Iman Shumpert","1610612752","New York Knicks","2","4","19","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","136","149","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","245","202697","Iman Shumpert","1610612752","New York Knicks","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","47","140","455","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","263","202697","Iman Shumpert","1610612752","New York Knicks","3","9","37","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-86","178","1","1","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","269","202697","Iman Shumpert","1610612752","New York Knicks","3","8","57","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","124","137","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","346","202697","Iman Shumpert","1610612752","New York Knicks","3","2","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","179","55","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","355","202697","Iman Shumpert","1610612752","New York Knicks","3","1","59","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","34","47","1","0","20120112","MEM","NYK"
"Shot Chart Detail","0021100156","362","202697","Iman Shumpert","1610612752","New York Knicks","3","1","12","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","236","-17","1","1","20120112","MEM","NYK"
"Shot Chart Detail","0021100177","39","202697","Iman Shumpert","1610612752","New York Knicks","1","7","39","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-123","142","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","87","202697","Iman Shumpert","1610612752","New York Knicks","1","3","45","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","168","60","1","1","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","172","202697","Iman Shumpert","1610612752","New York Knicks","2","6","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","166","1","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","223","202697","Iman Shumpert","1610612752","New York Knicks","2","3","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","59","28","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","233","202697","Iman Shumpert","1610612752","New York Knicks","2","2","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","94","168","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","236","202697","Iman Shumpert","1610612752","New York Knicks","2","2","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","-3","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","263","202697","Iman Shumpert","1610612752","New York Knicks","2","0","17","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-27","88","1","1","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","279","202697","Iman Shumpert","1610612752","New York Knicks","3","10","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","3","1","1","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","303","202697","Iman Shumpert","1610612752","New York Knicks","3","8","15","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","62","86","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","438","202697","Iman Shumpert","1610612752","New York Knicks","4","8","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","100","222","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100184","14","202697","Iman Shumpert","1610612752","New York Knicks","1","9","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","133","183","1","0","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","252","202697","Iman Shumpert","1610612752","New York Knicks","3","11","37","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","-24","1","0","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","261","202697","Iman Shumpert","1610612752","New York Knicks","3","11","10","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-239","-2","1","1","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","276","202697","Iman Shumpert","1610612752","New York Knicks","3","9","6","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-136","205","1","1","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","279","202697","Iman Shumpert","1610612752","New York Knicks","3","8","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","196","157","1","0","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","286","202697","Iman Shumpert","1610612752","New York Knicks","3","7","40","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","3","1","1","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","422","202697","Iman Shumpert","1610612752","New York Knicks","4","8","25","Missed Shot","Driving Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","37","15","1","0","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","436","202697","Iman Shumpert","1610612752","New York Knicks","4","6","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-150","-2","1","0","20120116","NYK","ORL"
"Shot Chart Detail","0021100184","512","202697","Iman Shumpert","1610612752","New York Knicks","4","0","46","Missed Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","20","23","1","0","20120116","NYK","ORL"
"Shot Chart Detail","0021100207","148","202697","Iman Shumpert","1610612752","New York Knicks","2","8","22","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-240","48","1","0","20120118","NYK","PHX"
"Shot Chart Detail","0021100207","208","202697","Iman Shumpert","1610612752","New York Knicks","2","4","24","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","40","151","1","1","20120118","NYK","PHX"
"Shot Chart Detail","0021100207","219","202697","Iman Shumpert","1610612752","New York Knicks","2","3","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","105","165","1","0","20120118","NYK","PHX"
