"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400434","74","203940","Adreian Payne","1610612737","Atlanta Hawks","1","4","5","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","6","1","0","20141226","ATL","MIL"
"Shot Chart Detail","0021400434","459","203940","Adreian Payne","1610612737","Atlanta Hawks","4","4","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","72","241","1","0","20141226","ATL","MIL"
"Shot Chart Detail","0021400434","488","203940","Adreian Payne","1610612737","Atlanta Hawks","4","2","4","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","6","1","0","20141226","ATL","MIL"
"Shot Chart Detail","0021400434","497","203940","Adreian Payne","1610612737","Atlanta Hawks","4","1","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","6","160","1","1","20141226","ATL","MIL"
"Shot Chart Detail","0021400568","480","203940","Adreian Payne","1610612737","Atlanta Hawks","4","2","1","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-5","34","1","0","20150113","PHI","ATL"
"Shot Chart Detail","0021400568","499","203940","Adreian Payne","1610612737","Atlanta Hawks","4","0","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","15","1","1","20150113","PHI","ATL"
"Shot Chart Detail","0021400580","497","203940","Adreian Payne","1610612737","Atlanta Hawks","4","0","25","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","4","63","1","0","20150114","BOS","ATL"
"Shot Chart Detail","0021400808","96","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","3","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","2","64","1","0","20150220","MIN","PHX"
"Shot Chart Detail","0021400808","114","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","1","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-38","242","1","0","20150220","MIN","PHX"
"Shot Chart Detail","0021400808","171","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","9","9","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-136","28","1","0","20150220","MIN","PHX"
"Shot Chart Detail","0021400808","391","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","2","5","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20150220","MIN","PHX"
"Shot Chart Detail","0021400808","433","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","11","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","89","233","1","0","20150220","MIN","PHX"
"Shot Chart Detail","0021400832","6","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","11","19","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","12","36","1","1","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","11","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","10","20","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","11","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","23","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","8","44","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","59","39","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","25","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","8","40","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","6","1","1","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","56","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","6","9","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","48","26","1","1","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","106","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","2","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-98","190","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","152","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","0","2","Missed Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","42","75","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","316","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","11","27","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-105","19","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","322","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","10","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","88","4","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","420","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","3","46","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","42","4","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","435","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","2","38","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-155","195","1","1","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","458","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","1","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-158","183","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","496","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","1","15","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","12","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","517","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","10","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","45","192","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400832","590","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","4","27","Missed Shot","Running Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","39","22","1","0","20150223","HOU","MIN"
"Shot Chart Detail","0021400848","76","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","5","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-161","194","1","0","20150225","MIN","WAS"
"Shot Chart Detail","0021400848","127","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","0","28","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","2","23","1","1","20150225","MIN","WAS"
"Shot Chart Detail","0021400848","163","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","8","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","135","151","1","0","20150225","MIN","WAS"
"Shot Chart Detail","0021400848","181","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","7","43","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150225","MIN","WAS"
"Shot Chart Detail","0021400848","448","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","7","47","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","223","19","1","0","20150225","MIN","WAS"
"Shot Chart Detail","0021400862","13","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","10","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","9","162","1","0","20150227","CHI","MIN"
"Shot Chart Detail","0021400862","24","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","9","1","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-19","3","1","0","20150227","CHI","MIN"
"Shot Chart Detail","0021400862","38","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","7","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","43","168","1","0","20150227","CHI","MIN"
"Shot Chart Detail","0021400862","116","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","0","1","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","3","1","1","20150227","CHI","MIN"
"Shot Chart Detail","0021400862","134","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","9","41","Made Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-7","41","1","1","20150227","CHI","MIN"
"Shot Chart Detail","0021400862","189","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","5","56","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","14","1","1","20150227","CHI","MIN"
"Shot Chart Detail","0021400862","203","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","4","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","20","1","0","20150227","CHI","MIN"
"Shot Chart Detail","0021400873","93","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","10","54","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","12","1","0","20150228","MIN","MEM"
"Shot Chart Detail","0021400873","99","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","10","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","28","213","1","0","20150228","MIN","MEM"
"Shot Chart Detail","0021400873","319","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","4","23","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-45","22","1","0","20150228","MIN","MEM"
"Shot Chart Detail","0021400873","329","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","3","47","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-49","201","1","1","20150228","MIN","MEM"
"Shot Chart Detail","0021400873","394","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","11","5","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-108","89","1","1","20150228","MIN","MEM"
"Shot Chart Detail","0021400873","457","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","5","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-26","208","1","0","20150228","MIN","MEM"
"Shot Chart Detail","0021400873","474","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","3","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-68","159","1","0","20150228","MIN","MEM"
"Shot Chart Detail","0021400888","60","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","3","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","106","34","1","0","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","91","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","1","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","65","23","1","0","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","94","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","1","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-67","183","1","0","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","135","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","9","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","15","201","1","1","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","167","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","6","55","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","-5","134","1","1","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","189","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","5","40","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","2","52","1","0","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","311","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","6","30","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","91","178","1","1","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","315","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","5","53","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150302","MIN","LAC"
"Shot Chart Detail","0021400888","433","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","6","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","22","-185","121","1","0","20150302","MIN","LAC"
"Shot Chart Detail","0021400902","112","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","1","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-71","183","1","0","20150304","MIN","DEN"
"Shot Chart Detail","0021400902","347","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","3","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","118","131","1","1","20150304","MIN","DEN"
"Shot Chart Detail","0021400902","379","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","0","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-35","220","1","0","20150304","MIN","DEN"
"Shot Chart Detail","0021400902","403","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","10","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","10","213","1","0","20150304","MIN","DEN"
"Shot Chart Detail","0021400928","133","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","9","44","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-71","20","1","1","20150307","MIN","POR"
"Shot Chart Detail","0021400928","347","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","0","48","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","20","39","1","1","20150307","MIN","POR"
"Shot Chart Detail","0021400945","37","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","7","25","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","29","23","1","0","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","83","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","3","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-68","160","1","0","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","243","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","3","0","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-168","4","1","1","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","251","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","2","2","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","3","1","0","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","270","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","0","28","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-40","39","1","0","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","289","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","11","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","22","1","0","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","296","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","10","24","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","324","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","7","48","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","36","216","1","1","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","338","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","6","24","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","355","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","4","28","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","358","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","3","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-7","190","1","1","20150309","LAC","MIN"
"Shot Chart Detail","0021400945","385","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","1","38","Made Shot","Jump Bank Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","31","25","1","1","20150309","LAC","MIN"
"Shot Chart Detail","0021400959","2","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","11","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","39","192","1","0","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","27","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","8","25","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","40","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","7","9","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","4","1","1","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","51","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","5","3","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-78","172","1","1","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","73","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","3","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","92","173","1","0","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","75","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","2","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","99","175","1","0","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","355","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","1","22","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","442","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","5","31","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","83","17","1","0","20150311","PHX","MIN"
"Shot Chart Detail","0021400959","457","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","4","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-212","31","1","0","20150311","PHX","MIN"
"Shot Chart Detail","0021400971","18","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","9","34","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-7","47","1","1","20150313","OKC","MIN"
"Shot Chart Detail","0021400971","20","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","8","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-26","187","1","0","20150313","OKC","MIN"
"Shot Chart Detail","0021400971","46","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","6","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-171","124","1","0","20150313","OKC","MIN"
"Shot Chart Detail","0021400971","56","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","5","59","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","78","14","1","1","20150313","OKC","MIN"
"Shot Chart Detail","0021400971","154","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","10","17","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-49","20","1","0","20150313","OKC","MIN"
"Shot Chart Detail","0021400971","289","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","9","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","135","145","1","0","20150313","OKC","MIN"
"Shot Chart Detail","0021400971","415","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","10","3","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","10","184","1","1","20150313","OKC","MIN"
"Shot Chart Detail","0021400971","545","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","1","27","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-114","47","1","0","20150313","OKC","MIN"
"Shot Chart Detail","0021400986","77","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","3","10","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","91","31","1","1","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","94","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","1","52","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","58","45","1","0","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","98","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","1","9","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-59","64","1","1","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","112","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","11","8","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","10","-62","80","1","1","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","150","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","7","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-139","71","1","0","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","304","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","5","33","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","0","58","1","1","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","345","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","1","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","119","134","1","0","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","356","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","0","46","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","58","110","1","0","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","448","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","3","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","130","-5","1","0","20150315","SAS","MIN"
"Shot Chart Detail","0021400986","456","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","2","52","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150315","SAS","MIN"
"Shot Chart Detail","0021400994","4","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","11","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","15","1","0","20150316","MIN","BKN"
"Shot Chart Detail","0021400994","159","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","7","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-26","219","1","0","20150316","MIN","BKN"
"Shot Chart Detail","0021400994","190","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","4","37","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","13","69","1","1","20150316","MIN","BKN"
"Shot Chart Detail","0021400994","199","203940","Adreian Payne","1610612750","Minnesota Timberwolves","2","3","54","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-89","23","1","0","20150316","MIN","BKN"
"Shot Chart Detail","0021400994","247","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","11","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","6","63","1","0","20150316","MIN","BKN"
"Shot Chart Detail","0021400994","340","203940","Adreian Payne","1610612750","Minnesota Timberwolves","3","3","2","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-108","168","1","1","20150316","MIN","BKN"
"Shot Chart Detail","0021400994","400","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","7","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","89","184","1","0","20150316","MIN","BKN"
"Shot Chart Detail","0021400994","456","203940","Adreian Payne","1610612750","Minnesota Timberwolves","4","2","2","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","20","203","1","1","20150316","MIN","BKN"
"Shot Chart Detail","0021401008","9","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","11","0","Made Shot","Running Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","1","1","1","20150318","TOR","MIN"
"Shot Chart Detail","0021401008","21","203940","Adreian Payne","1610612750","Minnesota Timberwolves","1","9","44","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","77","36","1","0","20150318","TOR","MIN"
