"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000042","105","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","1","0","59","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-19","4","1","1","20101031","OKC","UTA"
"Shot Chart Detail","0021000042","555","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","25","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","1","1","1","20101031","OKC","UTA"
"Shot Chart Detail","0021000042","585","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","0","48","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-48","20","1","0","20101031","OKC","UTA"
"Shot Chart Detail","0021000093","97","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","1","1","50","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-27","19","1","0","20101107","OKC","BOS"
"Shot Chart Detail","0021000425","509","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","21","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-68","17","1","0","20101222","NYK","OKC"
"Shot Chart Detail","0021000425","536","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","31","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","12","1","1","20101222","NYK","OKC"
"Shot Chart Detail","0021000843","89","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","1","4","3","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","65","9","1","0","20110222","OKC","LAC"
"Shot Chart Detail","0021000843","515","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","6","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","0","1","1","20110222","OKC","LAC"
"Shot Chart Detail","0021000908","553","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","25","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20110302","OKC","IND"
"Shot Chart Detail","0021000908","573","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","13","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-56","22","1","0","20110302","OKC","IND"
"Shot Chart Detail","0021000917","110","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","1","2","5","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","4","1","1","20110304","ATL","OKC"
"Shot Chart Detail","0021000944","149","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","2","9","27","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","34","4","1","1","20110307","MEM","OKC"
"Shot Chart Detail","0021000992","500","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","5","4","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-78","0","1","0","20110314","WAS","OKC"
"Shot Chart Detail","0021000992","533","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","0","52","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-64","-8","1","1","20110314","WAS","OKC"
"Shot Chart Detail","0021001075","540","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","0","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","7","52","1","0","20110325","OKC","MIN"
"Shot Chart Detail","0021100053","469","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","47","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","6","1","1","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","481","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","28","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","0","1","0","20111231","OKC","PHX"
"Shot Chart Detail","0021100122","497","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","4","49","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","4","1","1","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","509","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","38","Made Shot","Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","0","1","1","20120108","OKC","SAS"
"Shot Chart Detail","0021100122","522","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","11","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-8","42","1","1","20120108","OKC","SAS"
"Shot Chart Detail","0021100177","543","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","53","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-54","6","1","1","20120114","OKC","NYK"
"Shot Chart Detail","0021100177","558","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","0","26","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","77","3","1","0","20120114","OKC","NYK"
"Shot Chart Detail","0021100247","426","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","7","44","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","6","1","1","20120123","OKC","DET"
"Shot Chart Detail","0021100247","442","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","6","48","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","4","1","1","20120123","OKC","DET"
"Shot Chart Detail","0021100247","451","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","5","44","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","72","15","1","0","20120123","OKC","DET"
"Shot Chart Detail","0021100247","474","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-4","48","1","0","20120123","OKC","DET"
"Shot Chart Detail","0021100307","506","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","0","7","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-5","23","1","1","20120130","LAC","OKC"
"Shot Chart Detail","0021100350","521","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","43","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","15","1","1","20120204","SAS","OKC"
"Shot Chart Detail","0021100425","506","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","4","57","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","4","1","1","20120214","OKC","UTA"
"Shot Chart Detail","0021100425","527","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","36","Made Shot","Hook Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-43","14","1","1","20120214","OKC","UTA"
"Shot Chart Detail","0021100425","543","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","31","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","53","0","1","0","20120214","OKC","UTA"
"Shot Chart Detail","0021100425","549","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","30","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-19","6","1","0","20120214","OKC","UTA"
"Shot Chart Detail","0021100453","511","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","29","Missed Shot","Hook Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-48","14","1","0","20120217","OKC","GSW"
"Shot Chart Detail","0021100453","540","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","0","31","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-75","7","1","0","20120217","OKC","GSW"
"Shot Chart Detail","0021100475","111","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","1","0","52","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","70","7","1","1","20120220","OKC","NOH"
"Shot Chart Detail","0021100475","430","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","9","55","Missed Shot","Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-82","-3","1","0","20120220","OKC","NOH"
"Shot Chart Detail","0021100475","463","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","7","7","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","4","1","1","20120220","OKC","NOH"
"Shot Chart Detail","0021100502","115","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","2","10","10","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","-3","1","1","20120223","OKC","LAL"
"Shot Chart Detail","0021100540","195","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","2","4","34","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","-5","1","1","20120303","ATL","OKC"
"Shot Chart Detail","0021100540","212","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","2","4","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","0","20120303","ATL","OKC"
"Shot Chart Detail","0021100540","214","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","2","3","58","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-19","4","1","0","20120303","ATL","OKC"
"Shot Chart Detail","0021100540","267","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","2","0","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","17","1","0","20120303","ATL","OKC"
"Shot Chart Detail","0021100540","410","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","9","51","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","12","-68","104","1","0","20120303","ATL","OKC"
"Shot Chart Detail","0021100599","443","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","5","53","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","3","1","1","20120310","OKC","CHA"
"Shot Chart Detail","0021100599","445","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","5","18","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","3","1","1","20120310","OKC","CHA"
"Shot Chart Detail","0021100599","460","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","38","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-70","30","1","1","20120310","OKC","CHA"
"Shot Chart Detail","0021100599","465","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","3","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-70","34","1","0","20120310","OKC","CHA"
"Shot Chart Detail","0021100689","523","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","15","Made Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","81","4","1","1","20120321","OKC","LAC"
"Shot Chart Detail","0021100741","446","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","24","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","65","4","1","0","20120327","POR","OKC"
"Shot Chart Detail","0021100777","478","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","42","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","59","47","1","0","20120401","OKC","CHI"
"Shot Chart Detail","0021100840","476","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","34","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","4","1","1","20120408","OKC","TOR"
"Shot Chart Detail","0021100845","474","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","9","1","1","20120409","MIL","OKC"
"Shot Chart Detail","0021100845","479","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","2","19","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-73","11","1","0","20120409","MIL","OKC"
"Shot Chart Detail","0021100845","484","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","1","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","14","1","0","20120409","MIL","OKC"
"Shot Chart Detail","0021100883","493","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","5","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","7","1","0","20120413","OKC","SAC"
"Shot Chart Detail","0021100968","350","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","3","3","20","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","-3","1","1","20120424","OKC","SAC"
"Shot Chart Detail","0021100968","485","202332","Cole Aldrich","1610612760","Oklahoma City Thunder","4","3","26","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-10","22","1","0","20120424","OKC","SAC"
"Shot Chart Detail","0021200018","124","202332","Cole Aldrich","1610612745","Houston Rockets","1","0","0","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","3","1","1","20121102","ATL","HOU"
"Shot Chart Detail","0021200018","138","202332","Cole Aldrich","1610612745","Houston Rockets","2","11","10","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","7","1","1","20121102","ATL","HOU"
"Shot Chart Detail","0021200018","408","202332","Cole Aldrich","1610612745","Houston Rockets","4","11","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","15","83","1","0","20121102","ATL","HOU"
"Shot Chart Detail","0021200032","89","202332","Cole Aldrich","1610612745","Houston Rockets","1","2","49","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","0","1","1","20121103","HOU","POR"
"Shot Chart Detail","0021200032","107","202332","Cole Aldrich","1610612745","Houston Rockets","1","0","58","Missed Shot","Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-81","3","1","0","20121103","HOU","POR"
"Shot Chart Detail","0021200032","129","202332","Cole Aldrich","1610612745","Houston Rockets","2","11","0","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-38","47","1","1","20121103","HOU","POR"
"Shot Chart Detail","0021200032","137","202332","Cole Aldrich","1610612745","Houston Rockets","2","9","56","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","11","1","1","20121103","HOU","POR"
"Shot Chart Detail","0021200032","166","202332","Cole Aldrich","1610612745","Houston Rockets","2","7","19","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","11","1","0","20121103","HOU","POR"
"Shot Chart Detail","0021200059","136","202332","Cole Aldrich","1610612745","Houston Rockets","1","0","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","92","12","1","0","20121107","HOU","DEN"
"Shot Chart Detail","0021200059","384","202332","Cole Aldrich","1610612745","Houston Rockets","3","4","41","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","80","22","1","1","20121107","HOU","DEN"
"Shot Chart Detail","0021200073","114","202332","Cole Aldrich","1610612745","Houston Rockets","2","11","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-73","53","1","0","20121109","MEM","HOU"
"Shot Chart Detail","0021200073","116","202332","Cole Aldrich","1610612745","Houston Rockets","2","11","10","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","10","26","1","1","20121109","MEM","HOU"
"Shot Chart Detail","0021200073","126","202332","Cole Aldrich","1610612745","Houston Rockets","2","10","5","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-57","60","1","0","20121109","MEM","HOU"
"Shot Chart Detail","0021200085","209","202332","Cole Aldrich","1610612745","Houston Rockets","2","3","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-34","26","1","0","20121110","HOU","DET"
"Shot Chart Detail","0021200085","217","202332","Cole Aldrich","1610612745","Houston Rockets","2","2","43","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-16","72","1","1","20121110","HOU","DET"
"Shot Chart Detail","0021200146","189","202332","Cole Aldrich","1610612745","Houston Rockets","2","5","11","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-32","6","1","1","20121118","LAL","HOU"
"Shot Chart Detail","0021200146","205","202332","Cole Aldrich","1610612745","Houston Rockets","2","3","10","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","1","83","1","0","20121118","LAL","HOU"
"Shot Chart Detail","0021200146","211","202332","Cole Aldrich","1610612745","Houston Rockets","2","2","17","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","17","19","1","1","20121118","LAL","HOU"
"Shot Chart Detail","0021200146","224","202332","Cole Aldrich","1610612745","Houston Rockets","2","1","8","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","1","28","1","1","20121118","LAL","HOU"
"Shot Chart Detail","0021200146","433","202332","Cole Aldrich","1610612745","Houston Rockets","4","9","19","Missed Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","4","86","1","0","20121118","LAL","HOU"
"Shot Chart Detail","0021200146","436","202332","Cole Aldrich","1610612745","Houston Rockets","4","9","9","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","50","45","1","0","20121118","LAL","HOU"
"Shot Chart Detail","0021200278","417","202332","Cole Aldrich","1610612745","Houston Rockets","4","6","55","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","4","1","0","20121207","SAS","HOU"
"Shot Chart Detail","0021200278","429","202332","Cole Aldrich","1610612745","Houston Rockets","4","6","3","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-52","42","1","1","20121207","SAS","HOU"
"Shot Chart Detail","0021200290","461","202332","Cole Aldrich","1610612745","Houston Rockets","4","9","55","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","13","31","1","1","20121208","HOU","DAL"
"Shot Chart Detail","0021200394","474","202332","Cole Aldrich","1610612745","Houston Rockets","4","2","37","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","15","61","1","0","20121222","HOU","MEM"
"Shot Chart Detail","0021200408","468","202332","Cole Aldrich","1610612745","Houston Rockets","4","1","55","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","7","1","1","20121225","CHI","HOU"
"Shot Chart Detail","0021200432","204","202332","Cole Aldrich","1610612745","Houston Rockets","2","4","40","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","-11","1","0","20121228","SAS","HOU"
"Shot Chart Detail","0021200432","235","202332","Cole Aldrich","1610612745","Houston Rockets","2","2","29","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","1","1","1","20121228","SAS","HOU"
"Shot Chart Detail","0021200432","256","202332","Cole Aldrich","1610612745","Houston Rockets","2","1","5","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","0","44","1","1","20121228","SAS","HOU"
"Shot Chart Detail","0021200432","400","202332","Cole Aldrich","1610612745","Houston Rockets","4","11","23","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","7","1","1","20121228","SAS","HOU"
"Shot Chart Detail","0021200486","506","202332","Cole Aldrich","1610612745","Houston Rockets","4","0","17","Missed Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-59","36","1","0","20130104","MIL","HOU"
"Shot Chart Detail","0021200607","134","202332","Cole Aldrich","1610612745","Houston Rockets","1","0","55","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-18","9","1","0","20130121","CHA","HOU"
"Shot Chart Detail","0021200607","420","202332","Cole Aldrich","1610612745","Houston Rockets","3","1","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","6","1","0","20130121","CHA","HOU"
"Shot Chart Detail","0021200665","403","202332","Cole Aldrich","1610612745","Houston Rockets","4","6","31","Made Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-136","-21","1","1","20130128","UTA","HOU"
"Shot Chart Detail","0021200699","95","202332","Cole Aldrich","1610612745","Houston Rockets","1","3","2","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","7","1","1","20130202","HOU","CHA"
"Shot Chart Detail","0021200699","123","202332","Cole Aldrich","1610612745","Houston Rockets","1","1","0","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","19","1","1","20130202","HOU","CHA"
"Shot Chart Detail","0021200699","368","202332","Cole Aldrich","1610612745","Houston Rockets","3","1","17","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","11","1","0","20130202","HOU","CHA"
"Shot Chart Detail","0021200699","383","202332","Cole Aldrich","1610612745","Houston Rockets","3","0","35","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","3","1","0","20130202","HOU","CHA"
"Shot Chart Detail","0021200726","133","202332","Cole Aldrich","1610612745","Houston Rockets","2","10","21","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","1","1","0","20130206","MIA","HOU"
"Shot Chart Detail","0021200743","64","202332","Cole Aldrich","1610612745","Houston Rockets","1","3","12","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","6","1","1","20130208","HOU","POR"
"Shot Chart Detail","0021200743","68","202332","Cole Aldrich","1610612745","Houston Rockets","1","2","43","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","3","1","1","20130208","HOU","POR"
"Shot Chart Detail","0021200743","468","202332","Cole Aldrich","1610612745","Houston Rockets","4","2","36","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","56","33","1","1","20130208","HOU","POR"
"Shot Chart Detail","0021200774","395","202332","Cole Aldrich","1610612745","Houston Rockets","3","0","41","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-4","45","1","0","20130212","GSW","HOU"
"Shot Chart Detail","0021200884","494","202332","Cole Aldrich","1610612758","Sacramento Kings","4","6","33","Made Shot","Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","25","1","1","20130303","SAC","CHA"
"Shot Chart Detail","0021200884","535","202332","Cole Aldrich","1610612758","Sacramento Kings","4","1","21","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-27","19","1","0","20130303","SAC","CHA"
"Shot Chart Detail","0021200941","523","202332","Cole Aldrich","1610612758","Sacramento Kings","4","2","53","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","9","1","1","20130310","SAC","MIL"
"Shot Chart Detail","0021200941","537","202332","Cole Aldrich","1610612758","Sacramento Kings","4","1","52","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-35","11","1","0","20130310","SAC","MIL"
"Shot Chart Detail","0021200941","552","202332","Cole Aldrich","1610612758","Sacramento Kings","4","1","2","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","6","1","0","20130310","SAC","MIL"
"Shot Chart Detail","0021200963","48","202332","Cole Aldrich","1610612758","Sacramento Kings","1","6","20","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","6","1","0","20130313","SAC","CHI"
"Shot Chart Detail","0021200963","120","202332","Cole Aldrich","1610612758","Sacramento Kings","2","11","15","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-75","19","1","0","20130313","SAC","CHI"
"Shot Chart Detail","0021200963","163","202332","Cole Aldrich","1610612758","Sacramento Kings","2","6","21","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-7","20","1","1","20130313","SAC","CHI"
"Shot Chart Detail","0021200963","188","202332","Cole Aldrich","1610612758","Sacramento Kings","2","4","13","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","11","1","1","20130313","SAC","CHI"
"Shot Chart Detail","0021200963","438","202332","Cole Aldrich","1610612758","Sacramento Kings","4","2","58","Missed Shot","Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","91","9","1","0","20130313","SAC","CHI"
