"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000083","123","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","13","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","0","1","1","20101106","MIL","NOH"
"Shot Chart Detail","0021000105","127","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","11","45","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","0","1","1","20101109","NOH","LAC"
"Shot Chart Detail","0021000105","133","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","11","7","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","34","4","1","1","20101109","NOH","LAC"
"Shot Chart Detail","0021000105","149","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","9","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-141","6","1","0","20101109","NOH","LAC"
"Shot Chart Detail","0021000105","169","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","170","66","1","0","20101109","NOH","LAC"
"Shot Chart Detail","0021000105","478","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","2","16","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","79","63","1","0","20101109","NOH","LAC"
"Shot Chart Detail","0021000105","490","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","1","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","9","1","1","20101109","NOH","LAC"
"Shot Chart Detail","0021000136","138","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","9","3","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","11","1","0","20101113","NOH","POR"
"Shot Chart Detail","0021000177","175","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","67","186","1","1","20101119","NOH","CLE"
"Shot Chart Detail","0021000177","481","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","9","42","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","3","1","0","20101119","NOH","CLE"
"Shot Chart Detail","0021000193","144","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-49","216","1","0","20101121","SAC","NOH"
"Shot Chart Detail","0021000193","160","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","40","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","11","1","0","20101121","SAC","NOH"
"Shot Chart Detail","0021000202","130","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","11","28","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","11","1","1","20101122","LAC","NOH"
"Shot Chart Detail","0021000219","87","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","0","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-139","195","1","0","20101124","UTA","NOH"
"Shot Chart Detail","0021000251","135","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","9","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-147","112","1","0","20101129","OKC","NOH"
"Shot Chart Detail","0021000251","154","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","7","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","26","0","1","0","20101129","OKC","NOH"
"Shot Chart Detail","0021000251","165","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","6","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","4","1","1","20101129","OKC","NOH"
"Shot Chart Detail","0021000251","412","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","9","54","Made Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","4","64","1","1","20101129","OKC","NOH"
"Shot Chart Detail","0021000267","123","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","11","37","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","11","1","1","20101201","NOH","CHA"
"Shot Chart Detail","0021000267","427","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","6","55","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-2","47","1","1","20101201","NOH","CHA"
"Shot Chart Detail","0021000267","434","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","5","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-120","194","1","0","20101201","NOH","CHA"
"Shot Chart Detail","0021000282","418","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","9","35","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-64","6","1","1","20101203","NOH","NYK"
"Shot Chart Detail","0021000282","420","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","9","1","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","75","19","1","1","20101203","NOH","NYK"
"Shot Chart Detail","0021000282","436","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","7","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-51","17","1","0","20101203","NOH","NYK"
"Shot Chart Detail","0021000282","438","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","7","42","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-10","42","1","0","20101203","NOH","NYK"
"Shot Chart Detail","0021000282","459","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","5","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-136","4","1","0","20101203","NOH","NYK"
"Shot Chart Detail","0021000282","466","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","4","36","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","6","1","0","20101203","NOH","NYK"
"Shot Chart Detail","0021000282","525","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","0","4","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","7","1","1","20101203","NOH","NYK"
"Shot Chart Detail","0021000298","106","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","0","15","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","0","1","1","20101205","SAS","NOH"
"Shot Chart Detail","0021000298","118","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","19","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-117","153","1","1","20101205","SAS","NOH"
"Shot Chart Detail","0021000298","313","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","4","19","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","23","129","1","1","20101205","SAS","NOH"
"Shot Chart Detail","0021000298","365","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","11","17","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","0","1","0","20101205","SAS","NOH"
"Shot Chart Detail","0021000298","445","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","3","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-116","126","1","0","20101205","SAS","NOH"
"Shot Chart Detail","0021000298","452","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","1","33","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-37","0","1","0","20101205","SAS","NOH"
"Shot Chart Detail","0021000298","459","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","0","42","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","-14","1","1","20101205","SAS","NOH"
"Shot Chart Detail","0021000321","115","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","29","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-29","17","1","0","20101208","NOH","DET"
"Shot Chart Detail","0021000321","118","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","18","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","1","1","1","20101208","NOH","DET"
"Shot Chart Detail","0021000321","161","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","5","24","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","3","1","1","20101208","NOH","DET"
"Shot Chart Detail","0021000321","400","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","8","26","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","0","1","0","20101208","NOH","DET"
"Shot Chart Detail","0021000321","411","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","7","30","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","4","1","0","20101208","NOH","DET"
"Shot Chart Detail","0021000335","128","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","20","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-229","-6","1","0","20101210","NOH","OKC"
"Shot Chart Detail","0021000335","183","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","6","46","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","29","15","1","1","20101210","NOH","OKC"
"Shot Chart Detail","0021000335","205","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","4","21","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","12","1","0","20101210","NOH","OKC"
"Shot Chart Detail","0021000350","507","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","1","20","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","23","1","1","20101212","PHI","NOH"
"Shot Chart Detail","0021000355","250","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","2","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","159","138","1","0","20101213","MIA","NOH"
"Shot Chart Detail","0021000355","400","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","0","31","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","242","6","1","0","20101213","MIA","NOH"
"Shot Chart Detail","0021000355","541","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","0","52","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","19","1","0","20101213","MIA","NOH"
"Shot Chart Detail","0021000373","153","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","9","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","88","148","1","0","20101215","NOH","SAC"
"Shot Chart Detail","0021000373","168","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","34","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","-8","1","0","20101215","NOH","SAC"
"Shot Chart Detail","0021000427","320","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","11","44","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","0","1","0","20101222","NOH","NJN"
"Shot Chart Detail","0021000442","130","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","46","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-48","22","1","1","20101226","NOH","ATL"
"Shot Chart Detail","0021000442","137","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","28","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-8","22","1","1","20101226","NOH","ATL"
"Shot Chart Detail","0021000449","124","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","11","13","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-19","56","1","1","20101227","MIN","NOH"
"Shot Chart Detail","0021000449","158","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","26","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","3","1","1","20101227","MIN","NOH"
"Shot Chart Detail","0021000467","177","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","5","27","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-18","244","1","1","20101229","NOH","LAL"
"Shot Chart Detail","0021000467","309","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","6","32","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","3","1","0","20101229","NOH","LAL"
"Shot Chart Detail","0021000467","466","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","3","48","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","34","19","1","0","20101229","NOH","LAL"
"Shot Chart Detail","0021000467","481","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","2","51","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","9","1","1","20101229","NOH","LAL"
"Shot Chart Detail","0021000484","369","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","10","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-122","126","1","0","20110101","WAS","NOH"
"Shot Chart Detail","0021000502","205","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","2","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-133","96","1","1","20110103","NOH","PHI"
"Shot Chart Detail","0021000502","386","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","8","51","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","0","1","1","20110103","NOH","PHI"
"Shot Chart Detail","0021000518","104","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","2","24","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","144","140","1","1","20110105","NOH","GSW"
"Shot Chart Detail","0021000518","148","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","0","266","1","0","20110105","NOH","GSW"
"Shot Chart Detail","0021000518","176","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","9","55","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","3","1","0","20110105","NOH","GSW"
"Shot Chart Detail","0021000518","183","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","11","1","0","20110105","NOH","GSW"
"Shot Chart Detail","0021000518","185","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","12","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","43","15","1","0","20110105","NOH","GSW"
"Shot Chart Detail","0021000518","188","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","7","47","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","0","1","1","20110105","NOH","GSW"
"Shot Chart Detail","0021000535","71","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","2","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","14","1","0","20110107","LAL","NOH"
"Shot Chart Detail","0021000535","112","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-87","14","1","0","20110107","LAL","NOH"
"Shot Chart Detail","0021000535","143","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","6","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-139","126","1","0","20110107","LAL","NOH"
"Shot Chart Detail","0021000535","226","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","0","34","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","234","19","1","1","20110107","LAL","NOH"
"Shot Chart Detail","0021000535","349","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","1","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-158","41","1","0","20110107","LAL","NOH"
"Shot Chart Detail","0021000535","359","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","0","26","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","-8","1","0","20110107","LAL","NOH"
"Shot Chart Detail","0021000535","429","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","5","56","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","1","30","1","1","20110107","LAL","NOH"
"Shot Chart Detail","0021000548","108","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","0","54","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","28","1","0","20110109","DEN","NOH"
"Shot Chart Detail","0021000548","112","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","0","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","3","1","1","20110109","DEN","NOH"
"Shot Chart Detail","0021000548","518","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","0","16","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","37","1","0","20110109","DEN","NOH"
"Shot Chart Detail","0021000567","90","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","1","36","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-224","-2","1","0","20110112","NOH","ORL"
"Shot Chart Detail","0021000567","106","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","0","1","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","29","14","1","0","20110112","NOH","ORL"
"Shot Chart Detail","0021000582","125","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","9","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","58","71","1","0","20110114","HOU","NOH"
"Shot Chart Detail","0021000588","118","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","0","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","-11","1","1","20110115","CHA","NOH"
"Shot Chart Detail","0021000603","152","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","10","33","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","-3","1","0","20110117","NOH","TOR"
"Shot Chart Detail","0021000618","236","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","4","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","143","195","1","1","20110119","NOH","MEM"
"Shot Chart Detail","0021000618","255","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","2","57","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-226","53","1","0","20110119","NOH","MEM"
"Shot Chart Detail","0021000631","3","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","11","18","Made Shot","Driving Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","92","108","1","1","20110121","ATL","NOH"
"Shot Chart Detail","0021000631","6","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","10","56","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","99","228","1","1","20110121","ATL","NOH"
"Shot Chart Detail","0021000631","15","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","9","21","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","6","1","0","20110121","ATL","NOH"
"Shot Chart Detail","0021000631","305","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","6","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-48","157","1","0","20110121","ATL","NOH"
"Shot Chart Detail","0021000631","457","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","3","43","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","7","1","1","20110121","ATL","NOH"
"Shot Chart Detail","0021000631","463","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","2","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-105","170","1","0","20110121","ATL","NOH"
"Shot Chart Detail","0021000646","166","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","165","7","1","1","20110122","NOH","SAS"
"Shot Chart Detail","0021000646","434","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","5","23","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","54","60","1","0","20110122","NOH","SAS"
"Shot Chart Detail","0021000646","461","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","2","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-210","22","1","0","20110122","NOH","SAS"
"Shot Chart Detail","0021000646","463","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","2","26","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","67","48","1","1","20110122","NOH","SAS"
"Shot Chart Detail","0021000646","465","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","1","54","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","9","1","1","20110122","NOH","SAS"
"Shot Chart Detail","0021000646","479","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","1","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","155","96","1","0","20110122","NOH","SAS"
"Shot Chart Detail","0021000646","486","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","0","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","7","47","1","0","20110122","NOH","SAS"
"Shot Chart Detail","0021000660","82","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","4","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-144","214","1","0","20110124","NOH","OKC"
"Shot Chart Detail","0021000660","109","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","1","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-201","145","1","0","20110124","NOH","OKC"
"Shot Chart Detail","0021000660","169","202347","Quincy Pondexter","1610612740","New Orleans Hornets","2","8","23","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","21","74","1","0","20110124","NOH","OKC"
"Shot Chart Detail","0021000725","294","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","5","40","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","-2","1","1","20110202","OKC","NOH"
"Shot Chart Detail","0021000725","311","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","4","19","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","4","1","0","20110202","OKC","NOH"
"Shot Chart Detail","0021000725","344","202347","Quincy Pondexter","1610612740","New Orleans Hornets","3","2","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-62","3","1","0","20110202","OKC","NOH"
"Shot Chart Detail","0021000725","397","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","10","6","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-221","15","1","1","20110202","OKC","NOH"
"Shot Chart Detail","0021000725","414","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","8","19","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-144","0","1","1","20110202","OKC","NOH"
"Shot Chart Detail","0021000725","426","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","7","22","Made Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","81","-3","1","1","20110202","OKC","NOH"
"Shot Chart Detail","0021000725","489","202347","Quincy Pondexter","1610612740","New Orleans Hornets","4","1","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","89","30","1","0","20110202","OKC","NOH"
"Shot Chart Detail","0021000748","15","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","9","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","147","15","1","0","20110205","NOH","LAL"
"Shot Chart Detail","0021000748","25","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","8","45","Missed Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","58","44","1","0","20110205","NOH","LAL"
"Shot Chart Detail","0021000748","60","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","4","22","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","4","1","0","20110205","NOH","LAL"
"Shot Chart Detail","0021000760","26","202347","Quincy Pondexter","1610612740","New Orleans Hornets","1","8","27","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","-16","214","1","0","20110207","NOH","MIN"
