"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400525","140","204038","Langston Galloway","1610612752","New York Knicks","2","10","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","171","134","1","0","20150107","WAS","NYK"
"Shot Chart Detail","0021400525","151","204038","Langston Galloway","1610612752","New York Knicks","2","9","53","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","4","1","0","20150107","WAS","NYK"
"Shot Chart Detail","0021400525","167","204038","Langston Galloway","1610612752","New York Knicks","2","7","57","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-177","44","1","1","20150107","WAS","NYK"
"Shot Chart Detail","0021400525","174","204038","Langston Galloway","1610612752","New York Knicks","2","6","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","113","74","1","0","20150107","WAS","NYK"
"Shot Chart Detail","0021400525","401","204038","Langston Galloway","1610612752","New York Knicks","4","9","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-150","216","1","0","20150107","WAS","NYK"
"Shot Chart Detail","0021400525","406","204038","Langston Galloway","1610612752","New York Knicks","4","9","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-103","64","1","0","20150107","WAS","NYK"
"Shot Chart Detail","0021400525","430","204038","Langston Galloway","1610612752","New York Knicks","4","7","14","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","220","146","1","1","20150107","WAS","NYK"
"Shot Chart Detail","0021400525","480","204038","Langston Galloway","1610612752","New York Knicks","4","2","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","184","11","1","0","20150107","WAS","NYK"
"Shot Chart Detail","0021400536","109","204038","Langston Galloway","1610612752","New York Knicks","1","1","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-223","108","1","0","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","125","204038","Langston Galloway","1610612752","New York Knicks","1","0","23","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","155","204038","Langston Galloway","1610612752","New York Knicks","2","9","29","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-19","0","1","1","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","181","204038","Langston Galloway","1610612752","New York Knicks","2","7","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","83","172","1","0","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","236","204038","Langston Galloway","1610612752","New York Knicks","2","2","41","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","13","-73","113","1","0","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","349","204038","Langston Galloway","1610612752","New York Knicks","3","6","20","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","-24","1","1","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","385","204038","Langston Galloway","1610612752","New York Knicks","3","3","34","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","225","108","1","1","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","421","204038","Langston Galloway","1610612752","New York Knicks","4","11","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-16","246","1","1","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","433","204038","Langston Galloway","1610612752","New York Knicks","4","9","47","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150108","NYK","HOU"
"Shot Chart Detail","0021400536","524","204038","Langston Galloway","1610612752","New York Knicks","4","3","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-168","-5","1","0","20150108","NYK","HOU"
"Shot Chart Detail","0021400549","99","204038","Langston Galloway","1610612752","New York Knicks","1","1","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","17","1","0","20150110","NYK","CHA"
"Shot Chart Detail","0021400549","116","204038","Langston Galloway","1610612752","New York Knicks","2","11","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-207","6","1","0","20150110","NYK","CHA"
"Shot Chart Detail","0021400549","123","204038","Langston Galloway","1610612752","New York Knicks","2","10","24","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-177","108","1","1","20150110","NYK","CHA"
"Shot Chart Detail","0021400549","126","204038","Langston Galloway","1610612752","New York Knicks","2","9","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","97","233","1","0","20150110","NYK","CHA"
"Shot Chart Detail","0021400549","190","204038","Langston Galloway","1610612752","New York Knicks","2","4","31","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","64","172","1","1","20150110","NYK","CHA"
"Shot Chart Detail","0021400549","332","204038","Langston Galloway","1610612752","New York Knicks","3","5","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","23","119","198","1","0","20150110","NYK","CHA"
"Shot Chart Detail","0021400549","360","204038","Langston Galloway","1610612752","New York Knicks","3","2","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-97","231","1","0","20150110","NYK","CHA"
"Shot Chart Detail","0021400549","367","204038","Langston Galloway","1610612752","New York Knicks","3","1","43","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","0","42","1","0","20150110","NYK","CHA"
