"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400122","101","203914","Gary Harris","1610612743","Denver Nuggets","1","2","44","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","14","1","1","20141114","IND","DEN"
"Shot Chart Detail","0021400122","110","203914","Gary Harris","1610612743","Denver Nuggets","1","2","9","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","121","225","1","1","20141114","IND","DEN"
"Shot Chart Detail","0021400122","123","203914","Gary Harris","1610612743","Denver Nuggets","1","0","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","147","216","1","0","20141114","IND","DEN"
"Shot Chart Detail","0021400122","147","203914","Gary Harris","1610612743","Denver Nuggets","2","11","10","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","94","77","1","1","20141114","IND","DEN"
"Shot Chart Detail","0021400122","368","203914","Gary Harris","1610612743","Denver Nuggets","3","2","9","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","239","-6","1","0","20141114","IND","DEN"
"Shot Chart Detail","0021400122","377","203914","Gary Harris","1610612743","Denver Nuggets","3","1","36","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","136","148","1","1","20141114","IND","DEN"
"Shot Chart Detail","0021400122","418","203914","Gary Harris","1610612743","Denver Nuggets","4","10","18","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141114","IND","DEN"
"Shot Chart Detail","0021400122","422","203914","Gary Harris","1610612743","Denver Nuggets","4","10","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-179","194","1","0","20141114","IND","DEN"
"Shot Chart Detail","0021400122","427","203914","Gary Harris","1610612743","Denver Nuggets","4","9","29","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","48","151","1","1","20141114","IND","DEN"
"Shot Chart Detail","0021400122","460","203914","Gary Harris","1610612743","Denver Nuggets","4","5","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","154","209","1","0","20141114","IND","DEN"
"Shot Chart Detail","0021400142","111","203914","Gary Harris","1610612743","Denver Nuggets","2","11","37","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","6","1","0","20141116","NYK","DEN"
"Shot Chart Detail","0021400142","119","203914","Gary Harris","1610612743","Denver Nuggets","2","10","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","122","225","1","0","20141116","NYK","DEN"
"Shot Chart Detail","0021400142","278","203914","Gary Harris","1610612743","Denver Nuggets","2","0","33","Missed Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20141116","NYK","DEN"
"Shot Chart Detail","0021400232","100","203914","Gary Harris","1610612743","Denver Nuggets","1","1","57","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","195","151","1","0","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","127","203914","Gary Harris","1610612743","Denver Nuggets","1","0","19","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-204","143","1","1","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","134","203914","Gary Harris","1610612743","Denver Nuggets","2","11","47","Missed Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-29","37","1","0","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","142","203914","Gary Harris","1610612743","Denver Nuggets","2","11","20","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","80","241","1","1","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","158","203914","Gary Harris","1610612743","Denver Nuggets","2","9","41","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","159","63","1","1","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","460","203914","Gary Harris","1610612743","Denver Nuggets","3","0","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","157","12","1","0","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","522","203914","Gary Harris","1610612743","Denver Nuggets","4","7","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","207","156","1","0","20141128","DEN","PHX"
"Shot Chart Detail","0021400232","593","203914","Gary Harris","1610612743","Denver Nuggets","4","0","16","Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","3","1","0","20141128","DEN","PHX"
"Shot Chart Detail","0021400251","149","203914","Gary Harris","1610612743","Denver Nuggets","2","8","19","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","11","1","0","20141201","UTA","DEN"
"Shot Chart Detail","0021400251","171","203914","Gary Harris","1610612743","Denver Nuggets","2","6","14","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-93","224","1","1","20141201","UTA","DEN"
"Shot Chart Detail","0021400251","379","203914","Gary Harris","1610612743","Denver Nuggets","3","0","16","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-213","129","1","1","20141201","UTA","DEN"
"Shot Chart Detail","0021400251","386","203914","Gary Harris","1610612743","Denver Nuggets","4","11","46","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","10","26","1","0","20141201","UTA","DEN"
"Shot Chart Detail","0021400251","499","203914","Gary Harris","1610612743","Denver Nuggets","4","2","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","53","246","1","0","20141201","UTA","DEN"
"Shot Chart Detail","0021400251","505","203914","Gary Harris","1610612743","Denver Nuggets","4","1","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","173","184","1","0","20141201","UTA","DEN"
"Shot Chart Detail","0021400259","132","203914","Gary Harris","1610612743","Denver Nuggets","2","10","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","3","1","0","20141202","DEN","POR"
"Shot Chart Detail","0021400259","144","203914","Gary Harris","1610612743","Denver Nuggets","2","9","31","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","28","1","0","20141202","DEN","POR"
"Shot Chart Detail","0021400278","171","203914","Gary Harris","1610612743","Denver Nuggets","2","11","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-190","101","1","0","20141205","WAS","DEN"
"Shot Chart Detail","0021400278","194","203914","Gary Harris","1610612743","Denver Nuggets","2","8","34","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","0","53","1","0","20141205","WAS","DEN"
"Shot Chart Detail","0021400278","512","203914","Gary Harris","1610612743","Denver Nuggets","4","6","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","211","146","1","0","20141205","WAS","DEN"
"Shot Chart Detail","0021400278","551","203914","Gary Harris","1610612743","Denver Nuggets","4","2","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","173","208","1","0","20141205","WAS","DEN"
"Shot Chart Detail","0021400295","152","203914","Gary Harris","1610612743","Denver Nuggets","2","9","46","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","4","135","1","0","20141207","ATL","DEN"
"Shot Chart Detail","0021400295","155","203914","Gary Harris","1610612743","Denver Nuggets","2","9","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","9","265","1","0","20141207","ATL","DEN"
"Shot Chart Detail","0021400295","456","203914","Gary Harris","1610612743","Denver Nuggets","4","8","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-204","149","1","0","20141207","ATL","DEN"
"Shot Chart Detail","0021400295","458","203914","Gary Harris","1610612743","Denver Nuggets","4","8","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-90","239","1","0","20141207","ATL","DEN"
"Shot Chart Detail","0021400295","467","203914","Gary Harris","1610612743","Denver Nuggets","4","7","5","Missed Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","31","28","1","0","20141207","ATL","DEN"
"Shot Chart Detail","0021400295","469","203914","Gary Harris","1610612743","Denver Nuggets","4","6","59","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","42","1","0","20141207","ATL","DEN"
"Shot Chart Detail","0021400295","521","203914","Gary Harris","1610612743","Denver Nuggets","4","2","23","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","12","1","0","20141207","ATL","DEN"
"Shot Chart Detail","0021400295","534","203914","Gary Harris","1610612743","Denver Nuggets","4","0","37","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","9","1","1","20141207","ATL","DEN"
"Shot Chart Detail","0021400304","127","203914","Gary Harris","1610612743","Denver Nuggets","2","11","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","3","1","0","20141208","TOR","DEN"
"Shot Chart Detail","0021400304","132","203914","Gary Harris","1610612743","Denver Nuggets","2","11","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","181","14","1","0","20141208","TOR","DEN"
"Shot Chart Detail","0021400325","152","203914","Gary Harris","1610612743","Denver Nuggets","2","9","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","168","25","1","0","20141210","DEN","MIA"
"Shot Chart Detail","0021400325","354","203914","Gary Harris","1610612743","Denver Nuggets","3","2","12","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","25","1","0","20141210","DEN","MIA"
"Shot Chart Detail","0021400325","425","203914","Gary Harris","1610612743","Denver Nuggets","4","9","40","Missed Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","26","45","1","0","20141210","DEN","MIA"
"Shot Chart Detail","0021400325","431","203914","Gary Harris","1610612743","Denver Nuggets","4","9","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","0","252","1","0","20141210","DEN","MIA"
"Shot Chart Detail","0021400325","464","203914","Gary Harris","1610612743","Denver Nuggets","4","7","13","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-187","157","1","1","20141210","DEN","MIA"
"Shot Chart Detail","0021400325","485","203914","Gary Harris","1610612743","Denver Nuggets","4","5","7","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","179","164","1","0","20141210","DEN","MIA"
"Shot Chart Detail","0021400325","495","203914","Gary Harris","1610612743","Denver Nuggets","4","3","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-205","154","1","1","20141210","DEN","MIA"
"Shot Chart Detail","0021400346","169","203914","Gary Harris","1610612743","Denver Nuggets","2","11","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-161","11","1","0","20141213","HOU","DEN"
"Shot Chart Detail","0021400346","182","203914","Gary Harris","1610612743","Denver Nuggets","2","10","21","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","54","17","1","0","20141213","HOU","DEN"
"Shot Chart Detail","0021400346","504","203914","Gary Harris","1610612743","Denver Nuggets","4","11","29","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","103","23","1","0","20141213","HOU","DEN"
"Shot Chart Detail","0021400346","603","203914","Gary Harris","1610612743","Denver Nuggets","4","2","29","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","34","1","0","20141213","HOU","DEN"
"Shot Chart Detail","0021400354","116","203914","Gary Harris","1610612743","Denver Nuggets","1","0","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-212","135","1","0","20141214","DEN","SAS"
"Shot Chart Detail","0021400354","130","203914","Gary Harris","1610612743","Denver Nuggets","2","11","11","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","39","104","1","0","20141214","DEN","SAS"
"Shot Chart Detail","0021400409","214","203914","Gary Harris","1610612743","Denver Nuggets","2","3","15","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","15","1","0","20141222","CHA","DEN"
"Shot Chart Detail","0021400409","228","203914","Gary Harris","1610612743","Denver Nuggets","2","2","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-60","254","1","0","20141222","CHA","DEN"
"Shot Chart Detail","0021400409","256","203914","Gary Harris","1610612743","Denver Nuggets","2","0","29","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-240","56","1","0","20141222","CHA","DEN"
"Shot Chart Detail","0021400409","421","203914","Gary Harris","1610612743","Denver Nuggets","4","8","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-19","165","1","0","20141222","CHA","DEN"
"Shot Chart Detail","0021400471","141","203914","Gary Harris","1610612743","Denver Nuggets","2","10","9","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-235","50","1","0","20141230","DEN","LAL"
"Shot Chart Detail","0021400471","249","203914","Gary Harris","1610612743","Denver Nuggets","2","1","0","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","25","239","77","1","0","20141230","DEN","LAL"
"Shot Chart Detail","0021400471","412","203914","Gary Harris","1610612743","Denver Nuggets","4","10","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","201","168","1","1","20141230","DEN","LAL"
"Shot Chart Detail","0021400471","538","203914","Gary Harris","1610612743","Denver Nuggets","4","1","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-199","9","1","0","20141230","DEN","LAL"
"Shot Chart Detail","0021400471","549","203914","Gary Harris","1610612743","Denver Nuggets","4","0","13","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","212","143","1","0","20141230","DEN","LAL"
"Shot Chart Detail","0021400482","98","203914","Gary Harris","1610612743","Denver Nuggets","1","1","54","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-136","205","1","1","20150101","CHI","DEN"
"Shot Chart Detail","0021400482","128","203914","Gary Harris","1610612743","Denver Nuggets","2","11","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","113","192","1","0","20150101","CHI","DEN"
"Shot Chart Detail","0021400482","147","203914","Gary Harris","1610612743","Denver Nuggets","2","9","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","129","160","1","0","20150101","CHI","DEN"
"Shot Chart Detail","0021400482","375","203914","Gary Harris","1610612743","Denver Nuggets","3","2","39","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-171","165","1","0","20150101","CHI","DEN"
"Shot Chart Detail","0021400482","449","203914","Gary Harris","1610612743","Denver Nuggets","4","10","4","Made Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","15","63","1","1","20150101","CHI","DEN"
"Shot Chart Detail","0021400482","482","203914","Gary Harris","1610612743","Denver Nuggets","4","6","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-131","217","1","0","20150101","CHI","DEN"
"Shot Chart Detail","0021400482","487","203914","Gary Harris","1610612743","Denver Nuggets","4","6","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-87","205","1","0","20150101","CHI","DEN"
"Shot Chart Detail","0021400500","435","203914","Gary Harris","1610612743","Denver Nuggets","4","6","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","12","1","1","20150103","DEN","MEM"
"Shot Chart Detail","0021400500","449","203914","Gary Harris","1610612743","Denver Nuggets","4","4","20","Missed Shot","Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","6","1","0","20150103","DEN","MEM"
"Shot Chart Detail","0021400546","124","203914","Gary Harris","1610612743","Denver Nuggets","2","10","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-187","93","1","1","20150109","SAC","DEN"
"Shot Chart Detail","0021400546","363","203914","Gary Harris","1610612743","Denver Nuggets","4","11","29","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","54","74","1","1","20150109","SAC","DEN"
"Shot Chart Detail","0021400546","375","203914","Gary Harris","1610612743","Denver Nuggets","4","9","52","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","37","0","1","0","20150109","SAC","DEN"
"Shot Chart Detail","0021400581","338","203914","Gary Harris","1610612743","Denver Nuggets","3","7","1","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","36","1","0","20150114","DEN","DAL"
"Shot Chart Detail","0021400581","372","203914","Gary Harris","1610612743","Denver Nuggets","3","4","15","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","37","1","0","20150114","DEN","DAL"
"Shot Chart Detail","0021400615","406","203914","Gary Harris","1610612743","Denver Nuggets","4","9","40","Made Shot","Pullup Jump shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","22","1","1","20150119","GSW","DEN"
"Shot Chart Detail","0021400615","419","203914","Gary Harris","1610612743","Denver Nuggets","4","7","18","Missed Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","0","53","1","0","20150119","GSW","DEN"
"Shot Chart Detail","0021400615","454","203914","Gary Harris","1610612743","Denver Nuggets","4","5","4","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-131","86","1","0","20150119","GSW","DEN"
"Shot Chart Detail","0021400615","466","203914","Gary Harris","1610612743","Denver Nuggets","4","4","21","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-201","160","1","0","20150119","GSW","DEN"
"Shot Chart Detail","0021400615","499","203914","Gary Harris","1610612743","Denver Nuggets","4","1","37","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","27","4","272","1","0","20150119","GSW","DEN"
"Shot Chart Detail","0021400615","502","203914","Gary Harris","1610612743","Denver Nuggets","4","1","16","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","15","1","1","20150119","GSW","DEN"
"Shot Chart Detail","0021400693","359","203914","Gary Harris","1610612743","Denver Nuggets","3","1","15","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","73","178","1","0","20150129","MEM","DEN"
"Shot Chart Detail","0021400693","374","203914","Gary Harris","1610612743","Denver Nuggets","4","11","47","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","64","36","1","0","20150129","MEM","DEN"
"Shot Chart Detail","0021400693","389","203914","Gary Harris","1610612743","Denver Nuggets","4","9","53","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-152","206","1","0","20150129","MEM","DEN"
"Shot Chart Detail","0021400693","419","203914","Gary Harris","1610612743","Denver Nuggets","4","7","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","154","208","1","0","20150129","MEM","DEN"
"Shot Chart Detail","0021400693","441","203914","Gary Harris","1610612743","Denver Nuggets","4","5","47","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-10","58","1","0","20150129","MEM","DEN"
"Shot Chart Detail","0021400693","435","203914","Gary Harris","1610612743","Denver Nuggets","4","5","15","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","0","1","0","20150129","MEM","DEN"
"Shot Chart Detail","0021400713","259","203914","Gary Harris","1610612743","Denver Nuggets","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-239","22","1","0","20150131","DEN","CHA"
"Shot Chart Detail","0021400713","476","203914","Gary Harris","1610612743","Denver Nuggets","4","4","51","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","4","1","1","20150131","DEN","CHA"
"Shot Chart Detail","0021400713","482","203914","Gary Harris","1610612743","Denver Nuggets","4","4","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","163","50","1","0","20150131","DEN","CHA"
"Shot Chart Detail","0021400713","502","203914","Gary Harris","1610612743","Denver Nuggets","4","2","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-177","192","1","1","20150131","DEN","CHA"
"Shot Chart Detail","0021400713","505","203914","Gary Harris","1610612743","Denver Nuggets","4","2","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","4","1","0","20150131","DEN","CHA"
"Shot Chart Detail","0021400713","506","203914","Gary Harris","1610612743","Denver Nuggets","4","2","18","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","9","1","1","20150131","DEN","CHA"
"Shot Chart Detail","0021400726","383","203914","Gary Harris","1610612743","Denver Nuggets","3","3","32","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-207","145","1","1","20150203","PHI","DEN"
"Shot Chart Detail","0021400726","409","203914","Gary Harris","1610612743","Denver Nuggets","3","1","31","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-215","-3","1","1","20150203","PHI","DEN"
"Shot Chart Detail","0021400726","546","203914","Gary Harris","1610612743","Denver Nuggets","4","1","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","99","7","1","0","20150203","PHI","DEN"
"Shot Chart Detail","0021400726","591","203914","Gary Harris","1610612743","Denver Nuggets","4","0","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","28","179","217","1","0","20150203","PHI","DEN"
"Shot Chart Detail","0021400751","91","203914","Gary Harris","1610612743","Denver Nuggets","1","2","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","62","140","1","1","20150206","DET","DEN"
"Shot Chart Detail","0021400751","297","203914","Gary Harris","1610612743","Denver Nuggets","3","6","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","21","268","1","0","20150206","DET","DEN"
"Shot Chart Detail","0021400751","327","203914","Gary Harris","1610612743","Denver Nuggets","3","3","13","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","30","1","0","20150206","DET","DEN"
"Shot Chart Detail","0021400751","332","203914","Gary Harris","1610612743","Denver Nuggets","3","2","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-169","203","1","0","20150206","DET","DEN"
"Shot Chart Detail","0021400826","103","203914","Gary Harris","1610612743","Denver Nuggets","1","2","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","103","86","1","0","20150222","OKC","DEN"
"Shot Chart Detail","0021400826","120","203914","Gary Harris","1610612743","Denver Nuggets","1","1","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-201","129","1","0","20150222","OKC","DEN"
"Shot Chart Detail","0021400826","440","203914","Gary Harris","1610612743","Denver Nuggets","4","10","52","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","223","12","1","0","20150222","OKC","DEN"
"Shot Chart Detail","0021400826","526","203914","Gary Harris","1610612743","Denver Nuggets","4","3","29","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","182","34","1","1","20150222","OKC","DEN"
"Shot Chart Detail","0021400826","532","203914","Gary Harris","1610612743","Denver Nuggets","4","3","12","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","7","140","1","0","20150222","OKC","DEN"
"Shot Chart Detail","0021400834","21","203914","Gary Harris","1610612743","Denver Nuggets","1","9","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-89","115","1","0","20150223","DEN","BKN"
"Shot Chart Detail","0021400834","34","203914","Gary Harris","1610612743","Denver Nuggets","1","7","28","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","218","140","1","1","20150223","DEN","BKN"
"Shot Chart Detail","0021400834","40","203914","Gary Harris","1610612743","Denver Nuggets","1","6","33","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","3","1","1","20150223","DEN","BKN"
"Shot Chart Detail","0021400834","61","203914","Gary Harris","1610612743","Denver Nuggets","1","5","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-185","164","1","0","20150223","DEN","BKN"
