"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612742","2019","00","Courtney Lee","1","G","6-5","215","OCT 03, 1985","34","11","Western Kentucky","201584"
"1610612742","2019","00","Antonius Cleveland","3","G","6-5","195","FEB 02, 1994","26","1","S.E. Missouri","1628499"
"1610612742","2019","00","J.J. Barea","5","G","5-10","180","JUN 26, 1984","35","13","Northeastern","200826"
"1610612742","2019","00","Kristaps Porzingis","6","F-C","7-3","240","AUG 02, 1995","24","3"," ","204001"
"1610612742","2019","00","Dwight Powell","7","F-C","6-10","240","JUL 20, 1991","28","5","Stanford","203939"
"1610612742","2019","00","Michael Kidd-Gilchrist","9","F","6-6","232","SEP 26, 1993","26","7","Kentucky","203077"
"1610612742","2019","00","Dorian Finney-Smith","10","F","6-7","220","MAY 04, 1993","27","3","Florida","1627827"
"1610612742","2019","00","Tim Hardaway Jr.","11","G-F","6-5","205","MAR 16, 1992","28","6","Michigan","203501"
"1610612742","2019","00","Jalen Brunson","13","G","6-1","190","AUG 31, 1996","23","1","Villanova","1628973"
"1610612742","2019","00","Josh Reaves","23","G-F","6-4","214","JUN 04, 1997","22","R","Penn State","1629729"
"1610612742","2019","00","Seth Curry","30","G","6-2","185","AUG 23, 1990","29","5","Duke","203552"
"1610612742","2019","00","Willie Cauley-Stein","33","C","7-0","240","AUG 18, 1993","26","4","Kentucky","1626161"
"1610612742","2019","00","Maxi Kleber","42","F","6-10","240","JAN 29, 1992","28","2"," ","1628467"
"1610612742","2019","00","Justin Jackson","44","F","6-7","220","MAR 28, 1995","25","2","North Carolina","1628382"
"1610612742","2019","00","Boban Marjanovic","51","C","7-4","290","AUG 15, 1988","31","4"," ","1626246"
"1610612742","2019","00","Delon Wright","55","G","6-5","185","APR 26, 1992","28","4","Utah","1626153"
"1610612742","2019","00","Luka Doncic","77","F-G","6-7","230","FEB 28, 1999","21","1"," ","1629029"
