"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612754","2019","00","T.J. Warren","1","F","6-8","220","SEP 05, 1993","26","5","North Carolina State","203933"
"1610612754","2019","00","Aaron Holiday","3","G","6-0","185","SEP 30, 1996","23","1","UCLA","1628988"
"1610612754","2019","00","Victor Oladipo","4","G","6-4","213","MAY 04, 1992","28","6","Indiana","203506"
"1610612754","2019","00","Edmond Sumner","5","G","6-4","196","DEC 31, 1995","24","2","Xavier","1628410"
"1610612754","2019","00","Malcolm Brogdon","7","G","6-5","229","DEC 11, 1992","27","3","Virginia","1627763"
"1610612754","2019","00","Justin Holiday","8","F-G","6-6","180","APR 05, 1989","31","6","Washington","203200"
"1610612754","2019","00","T.J. McConnell","9","G","6-1","190","MAR 25, 1992","28","4","Arizona","204456"
"1610612754","2019","00","Brian Bowen II","10","F-G","6-6","190","OCT 02, 1998","21","R"," ","1628968"
"1610612754","2019","00","Domantas Sabonis","11","F-C","6-11","240","MAY 03, 1996","24","3","Gonzaga","1627734"
"1610612754","2019","00","JaKarr Sampson","14","F","6-7","214","MAR 20, 1993","27","4","St. John's, N.Y.","203960"
"1610612754","2019","00","Naz Mitrou-Long","15","G","6-3","218","AUG 03, 1993","26","2","Iowa State","1628513"
"1610612754","2019","00","Doug McDermott","20","F","6-7","225","JAN 03, 1992","28","5","Creighton","203926"
"1610612754","2019","00","TJ Leaf","22","F","6-10","222","APR 30, 1997","23","2","UCLA","1628388"
"1610612754","2019","00","Alize Johnson","24","F","6-7","212","APR 22, 1996","24","1","Missouri State","1628993"
"1610612754","2019","00","Jeremy Lamb","26","G-F","6-5","180","MAY 30, 1992","28","7","Connecticut","203087"
"1610612754","2019","00","Myles Turner","33","C-F","6-11","250","MAR 24, 1996","24","4","Texas","1626167"
"1610612754","2019","00","Goga Bitadze","88","C-F","6-11","250","JUL 20, 1999","20","R"," ","1629048"
