"TeamID","SEASON","LeagueID","PLAYER","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID"
"1610612746","2019","00","Reggie Jackson","1","G","6-3","208","APR 16, 1990","30","8","Boston College","202704"
"1610612746","2019","00","Kawhi Leonard","2","F","6-7","225","JUN 29, 1991","28","8","San Diego State","202695"
"1610612746","2019","00","JaMychal Green","4","F-C","6-8","227","JUN 21, 1990","29","5","Alabama","203210"
"1610612746","2019","00","Montrezl Harrell","5","F-C","6-7","240","JAN 26, 1994","26","4","Louisville","1626149"
"1610612746","2019","00","Amir Coffey","7","G-F","6-7","210","JUN 17, 1997","22","R","Minnesota","1629599"
"1610612746","2019","00","Paul George","13","F","6-8","220","MAY 02, 1990","30","9","Fresno State","202331"
"1610612746","2019","00","Terance Mann","14","G-F","6-5","215","OCT 18, 1996","23","R","Florida State","1629611"
"1610612746","2019","00","Johnathan Motley","15","F","6-8","230","MAY 04, 1995","25","2","Baylor","1628405"
"1610612746","2019","00","Rodney McGruder","19","G","6-4","205","JUL 29, 1991","28","3","Kansas State","203585"
"1610612746","2019","00","Landry Shamet","20","G","6-4","190","MAR 13, 1997","23","1","Wichita State","1629013"
"1610612746","2019","00","Patrick Beverley","21","G","6-1","180","JUL 12, 1988","31","7","Arkansas","201976"
"1610612746","2019","00","Lou Williams","23","G","6-1","175","OCT 27, 1986","33","14","No College","101150"
"1610612746","2019","00","Mfiondu Kabengele","25","F-C","6-9","250","AUG 14, 1997","22","R","Florida State","1629662"
"1610612746","2019","00","Marcus Morris Sr.","31","F","6-8","218","SEP 02, 1989","30","8","Kansas","202694"
"1610612746","2019","00","Ivica Zubac","40","C","7-0","240","MAR 18, 1997","23","3"," ","1627826"
"1610612746","2019","00","Patrick Patterson","54","F","6-8","235","MAR 14, 1989","31","9","Kentucky","202335"
"1610612746","2019","00","Joakim Noah","55","F-C","6-11","232","FEB 25, 1985","35","12","Florida","201149"
